geo	series	libsrc	title	src	ext
GSM7855469	GSE159297,GSE246103	other	NSChashtag_mix_HTO	NSC differentiation cell culture	single cell suspension via Trypsin-EDTA,10X Genomics 3prime v3
GSM6304120	GSE173316,GSE207629	other	microglia and myeloid cells multiplexed scRNA-seq rep2, HTO	WTC11 iPSC-derived Microglia	Multiplexed single-cell sequencing with cell hashing was performed following previously published protocol (30567574). In brief, each type of cells were first blocked with Human TruStain FcX (BioLegend Catalog# 422302) in cell staining buffer (BioLegend Catalog# 420201) for 10 minutes on ice, followed by staining with an individual TotalSeq-A anti-human Hashtag for 45 minutes on ice. Cells were washed three times, resuspended in PBS with 0.04% bovine serum albumin, and counted with Countess II Automated Cell Counter (Thermo Fisher Scientific). 1.25 x 10^5 cells were pooled from each group to create a pool of 1x10^6 cells with an average viability of 85%. Pooled cells were then filtered through a 40 Î¼m filter, counted, and diluted to a final concentration of 730 cells/Î¼L.,Single cell suspension containing 6.4x105 cells were loaded into 10X Chromium Controller following manufacturerâs user guide (Document CG000185 Rev B) using 2 lanes of Chromium Single Cell 3â Reagent Kits v3. Single cell gene expression and hashtag barcode libraries were constructed following the manufacturerâs user guide (Document CG000185 Rev B). Final libraries were sequenced on Illumina NovaSeq 6000 sequencer using NovaSeq 6000 S4 Reagent Kit v1 to get a total of 2x109 reads.
GSM6038244	GSE199378	other	Monocyte-derived M1 macrophages (D1) [AB-LIB]	Monocyte-derived macrophages	Single-cell transcriptomics libraries were generated via the Chromium Controller and the Single Cell 3â² Reagent Kit v3 (10x Genomics) according to the manufacturerâs instructions. Briefly, ~8,700 cells per sample were loaded onto a B Chip, aiming to capture 5,000 cells, with an expected 4.6% doublet rate. The Chromium Controller ran for droplet generation and reverse transcription was performed in the droplets.,80 ng of cDNA were used for the gene expression library preparation. Samples were prepared according to the 10X Genomicsâ protocol, except for an additional 1 x SPRISelect Beads (Beckman Coulter, Brea, CA) to ensure full removal of primer and adaptor dimers prior to the final elution for gene expression libraries. Libraries were quantitatively and qualitatively assessed using the Qubit 4 Fluorometer (ThermoFisher) and the Fragment Analyzer (Agilent) respectively. Gene expression libraries were 440bp in average length. Libraries were normalized, pooled and sequenced on an Illumina HiSeq 4000.
GSM6038246	GSE199378	other	Monocyte-derived M2a macrophages (D1) [AB-LIB]	Monocyte-derived macrophages	Single-cell transcriptomics libraries were generated via the Chromium Controller and the Single Cell 3â² Reagent Kit v3 (10x Genomics) according to the manufacturerâs instructions. Briefly, ~8,700 cells per sample were loaded onto a B Chip, aiming to capture 5,000 cells, with an expected 4.6% doublet rate. The Chromium Controller ran for droplet generation and reverse transcription was performed in the droplets.,80 ng of cDNA were used for the gene expression library preparation. Samples were prepared according to the 10X Genomicsâ protocol, except for an additional 1 x SPRISelect Beads (Beckman Coulter, Brea, CA) to ensure full removal of primer and adaptor dimers prior to the final elution for gene expression libraries. Libraries were quantitatively and qualitatively assessed using the Qubit 4 Fluorometer (ThermoFisher) and the Fragment Analyzer (Agilent) respectively. Gene expression libraries were 440bp in average length. Libraries were normalized, pooled and sequenced on an Illumina HiSeq 4000.
GSM6038248	GSE199378	other	Monocyte-derived M2c macrophages (D1) [AB-LIB]	Monocyte-derived macrophages	Single-cell transcriptomics libraries were generated via the Chromium Controller and the Single Cell 3â² Reagent Kit v3 (10x Genomics) according to the manufacturerâs instructions. Briefly, ~8,700 cells per sample were loaded onto a B Chip, aiming to capture 5,000 cells, with an expected 4.6% doublet rate. The Chromium Controller ran for droplet generation and reverse transcription was performed in the droplets.,80 ng of cDNA were used for the gene expression library preparation. Samples were prepared according to the 10X Genomicsâ protocol, except for an additional 1 x SPRISelect Beads (Beckman Coulter, Brea, CA) to ensure full removal of primer and adaptor dimers prior to the final elution for gene expression libraries. Libraries were quantitatively and qualitatively assessed using the Qubit 4 Fluorometer (ThermoFisher) and the Fragment Analyzer (Agilent) respectively. Gene expression libraries were 440bp in average length. Libraries were normalized, pooled and sequenced on an Illumina HiSeq 4000.
GSM6038250	GSE199378	other	Monocyte-derived M1 macrophages (D2) [AB-LIB]	Monocyte-derived macrophages	Single-cell transcriptomics libraries were generated via the Chromium Controller and the Single Cell 3â² Reagent Kit v3 (10x Genomics) according to the manufacturerâs instructions. Briefly, ~8,700 cells per sample were loaded onto a B Chip, aiming to capture 5,000 cells, with an expected 4.6% doublet rate. The Chromium Controller ran for droplet generation and reverse transcription was performed in the droplets.,80 ng of cDNA were used for the gene expression library preparation. Samples were prepared according to the 10X Genomicsâ protocol, except for an additional 1 x SPRISelect Beads (Beckman Coulter, Brea, CA) to ensure full removal of primer and adaptor dimers prior to the final elution for gene expression libraries. Libraries were quantitatively and qualitatively assessed using the Qubit 4 Fluorometer (ThermoFisher) and the Fragment Analyzer (Agilent) respectively. Gene expression libraries were 440bp in average length. Libraries were normalized, pooled and sequenced on an Illumina HiSeq 4000.
GSM6038252	GSE199378	other	Monocyte-derived M2a macrophages (D2) [AB-LIB]	Monocyte-derived macrophages	Single-cell transcriptomics libraries were generated via the Chromium Controller and the Single Cell 3â² Reagent Kit v3 (10x Genomics) according to the manufacturerâs instructions. Briefly, ~8,700 cells per sample were loaded onto a B Chip, aiming to capture 5,000 cells, with an expected 4.6% doublet rate. The Chromium Controller ran for droplet generation and reverse transcription was performed in the droplets.,80 ng of cDNA were used for the gene expression library preparation. Samples were prepared according to the 10X Genomicsâ protocol, except for an additional 1 x SPRISelect Beads (Beckman Coulter, Brea, CA) to ensure full removal of primer and adaptor dimers prior to the final elution for gene expression libraries. Libraries were quantitatively and qualitatively assessed using the Qubit 4 Fluorometer (ThermoFisher) and the Fragment Analyzer (Agilent) respectively. Gene expression libraries were 440bp in average length. Libraries were normalized, pooled and sequenced on an Illumina HiSeq 4000.
GSM6038254	GSE199378	other	Monocyte-derived M2c macrophages (D2) [AB-LIB]	Monocyte-derived macrophages	Single-cell transcriptomics libraries were generated via the Chromium Controller and the Single Cell 3â² Reagent Kit v3 (10x Genomics) according to the manufacturerâs instructions. Briefly, ~8,700 cells per sample were loaded onto a B Chip, aiming to capture 5,000 cells, with an expected 4.6% doublet rate. The Chromium Controller ran for droplet generation and reverse transcription was performed in the droplets.,80 ng of cDNA were used for the gene expression library preparation. Samples were prepared according to the 10X Genomicsâ protocol, except for an additional 1 x SPRISelect Beads (Beckman Coulter, Brea, CA) to ensure full removal of primer and adaptor dimers prior to the final elution for gene expression libraries. Libraries were quantitatively and qualitatively assessed using the Qubit 4 Fluorometer (ThermoFisher) and the Fragment Analyzer (Agilent) respectively. Gene expression libraries were 440bp in average length. Libraries were normalized, pooled and sequenced on an Illumina HiSeq 4000.
GSM6069856	GSE201704	other	Peripheral Blood, ADT	Peripheral Blood	Cells from pre- and post-treatment of one patient were loaded into the 10XChromium Controller using the Single Cell 5' Library and Gel BeadKit (10X Genomics). The Chromium Single Cell V(D)J protocol was used to profile  gene expression and T cell receptor.,scRNA-seq + TCR +cell surface proteins
GSM6215453	GSE205606	other	Patient_day0_day3_Healthy_cohort1, HTO-derived cDNA	PBMC	Sinlge cell droplets were generated by 10x Genomics Chromium Controller, and cDNAs with UMIs were generated at single-cell level.,The single cell libraries were prepared following the protocol outlined in the Chromium Single Cell 5' Reagent Kits v2 User Guide.
