rank	size	normalized	example_raw	example_geo	example_series
1	79	then rt using template switching oligo and preamplification for 21 cycles as in smartseq2 is performed cells with different levels of intracellular virus are cherry pick	then RT using template switching oligo and preamplification for 21 cycles as in SmartSeq2 is performed. Cells with different levels of intracellular virus are cherry pick	GSM3251283	GSE116672
2	68	e transcription and template switch steps were performed following the modified smart seq2 protocol strt seq single cells with different barcodes were pooled for one li	e transcription and template switch steps were performed following the modified Smart-seq2 protocol.(STRT-seq). Single cells with different barcodes were pooled for one li	GSM4701815	GSE145668
3	55	ls these cells were directly sorted into 10x reaction buffer prepared from the smart seq v4 ultra low input rna kit takara clontech cat 634894 and snap frozen in liqu	ls. These cells were directly sorted into 10X Reaction Buffer prepared from the SMART-Seq v4 Ultra Low Input RNA Kit (Takara Clontech cat. 634894) and snap frozen in liqu	GSM4374566	GSE146264
4	29	lls were sorted into 96 well plates and cdna synthesis was performed using the smart seq2 protocol illumina sequencing libraries were prepared using a mosquito hts liquid	lls) were sorted into 96-well plates and cDNA synthesis was performed using the Smart-seq2 protocol,Illumina sequencing libraries were prepared using a Mosquito HTS liquid	GSM5803425	GSE193439,GSE193442
5	24	single cell sorting in 96 well plates followed by cdna preparation using smart seq2 smart seq2 for preparation of cdna followed by library preparation using nextera	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2,Smart-Seq2 for preparation of cDNA followed by library preparation using Nextera	GSM2244069	GSE84465
6	20	acturerâs protocol takara bio notable changes from the previously reported smart seq2 rt step includes 2 mm of dntp and 2 ï­m of oligo dt were included in the captu	acturerâs protocol (Takara Bio). Notable changes from the previously reported Smart-Seq2 RT step includes: 2 mM of dNTP and 2 ï­M of oligo dT were included in the captu	GSM4582668	GSE151537,GSE151538
7	14	from single facs sorted cells cdna was generated according to smart seq2 protocol illumina sequenecing libraries were constructed in 96 well plates using	From single FACS sorted cells, cDNA was generated according to Smart-seq2 protocol,Illumina sequenecing libraries were constructed in 96-well plates using	GSM2508385	GSE76312
8	12	ere constructed as comparison a set of cells had mrna libraries prepared with smart seq2 no suffix barcoded libraries were sequenced paired end 37bp x 2 on an illum	ere constructed. As comparison, a set of cells had mRNA libraries prepared with Smart-Seq2 (no suffix).,Barcoded libraries were sequenced paired-end (37bp x 2) on an Illum	GSM4840098	GSE144296
9	12	single cells were directly sorted in lysis buffer according to smart seq2 protocol picelli et al nat protocol 2014 a lysis buffer was prepared of 20	Single cells were directly sorted in lysis buffer according to Smart-Seq2 protocol (Picelli et al., Nat protocol, 2014). A lysis buffer was prepared of 20	GSM6584443	GSE213370,GSE213372
10	12	tes containing lysis buffer single cell cdna libraries were prepared using the smart seq v2 protocol with the following modifications i 1 mg ml bsa lysis buffer ambi	tes containing Lysis buffer.,Single-cell cDNA libraries were prepared using the Smart-seq v2 protocol with the following modifications: (i) 1 mg/mL BSA Lysis buffer (Ambi	GSM5368398	GSE176509
11	11	ria iii becton dickinson into individual wells of 384 well plates containing smart seq2 cell lysis buffer rnaseq libraries were prepared using compatible tn5 and nexte	ria III (Becton Dickinson)  into individual wells of 384-well plates containing Smart-Seq2 cell lysis buffer.,RNAseq libraries were prepared using compatible Tn5 and Nexte	GSM4638392	GSE153282
