rank	size	normalized	example_raw	example_geo	example_series
1	51	we collected cells using the c1 single cell auto prep ifc microfluidic chip fluidigm we performed single cell capture and	We collected cells using the C1 Single-Cell Auto Prep IFC microfluidic chip (Fluidigm).,We performed single cell capture and	GSM3341693	GSE118723
2	46	single nuclear capture and sequencing were performed on the icell8 single cell platform wafergen biosytems icell8 platform comprised of a multi sample nano	Single nuclear capture and sequencing were performed on the ICELL8 single cell platform (Wafergen Biosytems). ICELL8 platform comprised of a multi-sample nano-	GSM3920430	GSE133707
3	29	single cell sorting in 96 well plates followed by cdna preparation using smart seq2 smart se	single-cell sorting in 96-well plates followed by cDNA preparation using Smart-seq2,Smart-Se	GSM2246149	GSE84465
4	27	single cell rnaseq was performed as described in picelli et al nat protoc 2014 pmid 243851	Single cell RNAseq was performed as described in Picelli et al.Nat Protoc. 2014, PMID:243851	GSM2841583	GSE106540,GSE106544
5	25	single cell rna sequencing was conducted using a modified high throughput strt method singl	Single-cell RNA sequencing was conducted using a modified high throughput STRT method. Singl	GSM3628785	GSE127136
6	16	t cells were isolated from tumor single cell suspensions by antibody staining followed by cell sorting on a 5 laser facsaria	T cells were isolated from tumor single cell suspensions by antibody staining followed by cell sorting on a 5-laser FACSAria 	GSM4582127	GSE151537,GSE151538
7	15	l lysing reverse transcription and cdna amplification were performed on the c1 single cell auto prep ifc as specified by the manufacturer protocol 100 7168 e1 the sma	l lysing, reverse transcription and cDNA amplification were performed on the C1 Single-Cell Auto Prep IFC, as specified by the manufacturer (Protocol #100-7168 E1). The SMA	GSM2159120	GSE81608
8	15	single cell suspentions were loaded onto a medium size 10 17 î¼m c1 single cell auto prep	Single-cell suspentions were loaded onto a medium size (10-17 Î¼m) C1 Single-Cell Auto Prep 	GSM1966397	GSE75748
9	14	ng a vibratome or brain matrix and the somatosensory cortex was microdissected single cell suspensions were generated using the worthington papain dissociation system hum	ng a vibratome or brain matrix and the somatosensory cortex was microdissected. Single cell suspensions were generated using the Worthington Papain dissociation system. Hum	GSM2709068	GSE101601
10	14	single cell suspensions were generated using accutase dissociation followed by single cell f	Single cell suspensions were generated using accutase dissociation followed by single cell f	GSM3344958	GSE118734,GSE118735
