cluster_id	method	n_total	n_drop_a1	n_drop_a2	n_drop_a3_scprob	n_drop_a3_libsize	n_drop_union_sc	frac_sc
group_L0_0580ccbc	mega	37	0	7	0	0	7	0.189189189189189
group_L0_08addaaf	mega	42	0	0	0	3	0	0
group_L0_08c7ae59	mega	49	0	0	0	6	0	0
group_L0_0d8013c7	mega	49	17	4	0	0	21	0.428571428571429
group_L0_0ef4d903	mega	101	32	2	0	0	34	0.336633663366337
group_L0_1012303b	mega	38	0	8	0	0	8	0.210526315789474
group_L0_10412ca8	mega	22	0	0	0	0	0	0
group_L0_13d7a15f	mega	83	0	83	0	0	83	1
group_L0_142ce16b	mega	52	0	52	0	0	52	1
group_L0_14940f87	mega	76	0	1	0	0	1	0.0131578947368421
group_L0_158f76e9	mega	51	16	9	0	14	25	0.490196078431373
group_L0_18ed5fc1	mega	95	0	95	0	0	95	1
group_L0_1905be78	mega	54	0	12	0	0	12	0.222222222222222
group_L0_1a0673ae	mega	94	0	0	0	0	0	0
group_L0_1ba15e38	mega	149	0	37	0	2	37	0.248322147651007
group_L0_1ca3636b	mega	121	0	25	0	0	25	0.206611570247934
group_L0_1d659754	mega	53	0	0	0	0	0	0
group_L0_1ed04b7c	mega	83	0	76	0	0	76	0.91566265060241
group_L0_23fe727f	mega	32	1	1	0	0	2	0.0625
group_L0_289ac276	mega	95	0	29	0	6	29	0.305263157894737
group_L0_2acac771	mega	105	0	2	0	3	2	0.019047619047619
group_L0_2d3a16d9	mega	155	0	0	0	1	0	0
group_L0_2e246ca8	mega	16	0	0	0	0	0	0
group_L0_2f2dc6bc	mega	63	0	0	0	0	0	0
group_L0_3497f48c	mega	30	0	2	0	0	2	0.0666666666666667
group_L0_39fd788a	mega	35	0	2	0	3	2	0.0571428571428571
group_L0_3db60fe4	mega	59	0	0	0	3	0	0
group_L0_44cb2282	mega	30	0	0	0	0	0	0
group_L0_495d72b3	mega	31	0	0	0	0	0	0
group_L0_4d47acbf	mega	40	0	35	0	0	35	0.875
group_L0_51426bfc	mega	70	0	0	0	8	0	0
group_L0_5340bbe5	mega	59	4	0	0	0	4	0.0677966101694915
