samn	n_distinct_series
SAMN04284324	8
SAMN04284325	8
SAMN04284326	8
SAMN04284327	7
SAMN22786064	6
SAMN22786159	6
SAMN19596780	5
SAMN22786062	5
SAMN04284356	4
SAMN04284357	4
SAMN04284359	4
SAMN04284360	4
SAMN05896890	4
SAMN19596930	4
SAMN04284314	3
SAMN04284355	3
SAMN04284358	3
SAMN04284476	3
SAMN04284498	3
SAMN04875913	3
SAMN04875916	3
SAMN05897169	3
SAMN19596593	3
SAMN19596945	3
SAMN19597310	3
SAMN19597351	3
SAMN19597357	3
SAMN04284255	2
SAMN04284268	2
SAMN04284273	2
SAMN04284275	2
SAMN04284276	2
SAMN04284278	2
SAMN04284280	2
SAMN04284281	2
SAMN04284283	2
SAMN04284285	2
SAMN04284288	2
SAMN04284289	2
SAMN04284290	2
SAMN04284291	2
SAMN04284292	2
SAMN04284294	2
SAMN04284297	2
SAMN04284298	2
SAMN04284299	2
SAMN04284301	2
SAMN04284302	2
SAMN04284303	2
SAMN04284304	2
SAMN04284305	2
SAMN04284307	2
SAMN04284308	2
SAMN04284311	2
SAMN04284312	2
SAMN04284313	2
SAMN04284315	2
SAMN04284317	2
SAMN04284320	2
SAMN04284321	2
SAMN04284350	2
SAMN04284364	2
SAMN04284367	2
SAMN04284410	2
SAMN04284412	2
SAMN04284414	2
SAMN04284421	2
SAMN04284423	2
SAMN04284445	2
SAMN04284451	2
SAMN04284452	2
SAMN04284453	2
SAMN04284454	2
SAMN04284463	2
SAMN04284471	2
SAMN04284472	2
SAMN04284479	2
SAMN04284488	2
SAMN04284489	2
SAMN04284491	2
SAMN04284493	2
SAMN04875768	2
SAMN04875780	2
SAMN04875914	2
SAMN04875944	2
SAMN05896757	2
SAMN05896801	2
SAMN05896839	2
SAMN05896850	2
SAMN05896901	2
SAMN05896911	2
SAMN05896924	2
SAMN05896965	2
SAMN05896977	2
SAMN05896984	2
SAMN05896986	2
SAMN05897003	2
SAMN05897019	2
SAMN05897023	2
SAMN05897027	2
SAMN05897040	2
SAMN05897043	2
SAMN05897048	2
SAMN05897060	2
SAMN05897067	2
SAMN05897081	2
SAMN05897083	2
SAMN05897106	2
SAMN05897134	2
SAMN05897145	2
SAMN05897186	2
SAMN05897265	2
SAMN05897273	2
SAMN05897274	2
SAMN05897290	2
SAMN05897325	2
SAMN05897338	2
SAMN05897339	2
SAMN05897353	2
SAMN05897362	2
SAMN05897374	2
SAMN05897404	2
SAMN05897416	2
SAMN05897421	2
SAMN05897430	2
SAMN05897475	2
SAMN05897476	2
SAMN05897511	2
SAMN05897539	2
SAMN05897547	2
SAMN05897573	2
SAMN05897587	2
SAMN05897593	2
SAMN05897621	2
SAMN05897633	2
SAMN05897654	2
SAMN05897667	2
SAMN05897674	2
SAMN05897675	2
SAMN05897683	2
SAMN05897696	2
SAMN05897718	2
SAMN05897761	2
SAMN05897764	2
SAMN05897772	2
SAMN05897785	2
SAMN06044596	2
SAMN06044599	2
SAMN18814270	2
SAMN18814272	2
SAMN18814276	2
SAMN18814278	2
SAMN19193353	2
SAMN19193397	2
SAMN19193484	2
SAMN19596467	2
SAMN19596507	2
SAMN19596578	2
SAMN19596666	2
SAMN19596782	2
SAMN19596901	2
SAMN19596960	2
SAMN19596980	2
SAMN19597014	2
SAMN19597064	2
SAMN19597102	2
SAMN19597135	2
SAMN19597140	2
SAMN19597164	2
SAMN19597214	2
SAMN19597362	2
SAMN19597426	2
SAMN31997806	2
SAMN31998429	2
SAMN31998704	2
SAMN31998773	2
