samn	cluster_id	mode	level	kind	n_gse_overlap
SAMN04284255	group_L0_654e1e5a	group	0	none	2
SAMN04284255	group_L1_770c0a4b	group	1	none	2
SAMN04284255	group_L2_1b149c04	group	2	none	2
SAMN04284255	group_L3_e4f0cb99	group	3	none	2
SAMN04284255	group_L4_ece8b1d0	group	4	none	2
SAMN04284268	group_L0_ae3d80f8	group	0	disease_vs_normal	2
SAMN04284268	group_L1_2b1fcbb6	group	1	disease_vs_normal	2
SAMN04284268	group_L2_150913d4	group	2	disease_vs_normal	2
SAMN04284268	group_L3_0e98998c	group	3	disease_vs_normal	2
SAMN04284268	group_L4_6d1498c8	group	4	disease_vs_normal	2
SAMN04284278	group_L0_29df2881	group	0	none	2
SAMN04284278	group_L0_b06d50ee	group	0	none	2
SAMN04284278	group_L1_146843cc	group	1	none	2
SAMN04284278	group_L1_ad5537e2	group	1	none	2
SAMN04284278	group_L2_90a0e5d8	group	2	none	2
SAMN04284278	group_L2_d8dda3b9	group	2	none	2
SAMN04284278	group_L3_cc2d4399	group	3	none	2
SAMN04284278	group_L4_45e03307	group	4	none	2
SAMN04284280	group_L0_29df2881	group	0	none	2
SAMN04284280	group_L0_b06d50ee	group	0	none	2
SAMN04284280	group_L1_146843cc	group	1	none	2
SAMN04284280	group_L1_ad5537e2	group	1	none	2
SAMN04284280	group_L2_90a0e5d8	group	2	none	2
SAMN04284280	group_L2_d8dda3b9	group	2	none	2
SAMN04284280	group_L3_cc2d4399	group	3	none	2
SAMN04284280	group_L4_45e03307	group	4	none	2
SAMN04284281	group_L0_b3905a56	group	0	none	2
SAMN04284281	group_L1_8c596639	group	1	none	2
SAMN04284281	group_L2_ec7f3b8d	group	2	none	2
SAMN04284281	group_L3_fa05354c	group	3	none	2
SAMN04284281	group_L4_11c4cc36	group	4	none	2
SAMN04284283	group_L0_b3905a56	group	0	none	2
SAMN04284283	group_L1_8c596639	group	1	none	2
SAMN04284283	group_L2_ec7f3b8d	group	2	none	2
SAMN04284283	group_L3_fa05354c	group	3	none	2
SAMN04284283	group_L4_11c4cc36	group	4	none	2
SAMN04284288	group_L3_5724f514	group	3	none	2
SAMN04284288	group_L4_72e37d04	group	4	none	2
SAMN04284289	group_L3_5724f514	group	3	none	2
SAMN04284289	group_L4_72e37d04	group	4	none	2
SAMN04284290	group_L0_2b651874	group	0	none	2
SAMN04284290	group_L1_f88d251c	group	1	none	2
SAMN04284290	group_L2_035056a8	group	2	none	2
SAMN04284290	group_L3_1a2f4a99	group	3	none	2
SAMN04284290	group_L4_c495054b	group	4	none	2
SAMN04284291	group_L0_2b651874	group	0	none	2
SAMN04284291	group_L1_f88d251c	group	1	none	2
SAMN04284291	group_L2_035056a8	group	2	none	2
SAMN04284291	group_L3_1a2f4a99	group	3	none	2
SAMN04284291	group_L4_c495054b	group	4	none	2
SAMN04284294	group_L0_78748157	group	0	none	2
SAMN04284294	group_L1_ec68f3e8	group	1	none	2
SAMN04284294	group_L2_3b6f73b0	group	2	none	2
SAMN04284294	group_L3_e7473e1b	group	3	none	2
SAMN04284294	group_L4_c70a48e6	group	4	none	2
SAMN04284297	group_L0_78748157	group	0	none	2
SAMN04284297	group_L1_ec68f3e8	group	1	none	2
SAMN04284297	group_L2_3b6f73b0	group	2	none	2
SAMN04284297	group_L3_e7473e1b	group	3	none	2
SAMN04284297	group_L4_c70a48e6	group	4	none	2
SAMN04284298	group_L0_d92b333b	group	0	none	2
SAMN04284298	group_L1_08169930	group	1	none	2
SAMN04284298	group_L2_b21402bc	group	2	none	2
SAMN04284298	group_L3_300c242f	group	3	none	2
SAMN04284298	group_L4_58a2aa96	group	4	none	2
SAMN04284299	group_L0_d92b333b	group	0	none	2
SAMN04284299	group_L1_08169930	group	1	none	2
SAMN04284299	group_L2_b21402bc	group	2	none	2
SAMN04284299	group_L3_300c242f	group	3	none	2
SAMN04284299	group_L4_58a2aa96	group	4	none	2
SAMN04284302	group_L0_b811459d	group	0	none	2
SAMN04284302	group_L1_2b92d98c	group	1	none	2
SAMN04284302	group_L2_91ae4426	group	2	none	2
SAMN04284302	group_L3_39807bfe	group	3	none	2
SAMN04284302	group_L4_fce8baba	group	4	none	2
SAMN04284303	group_L0_b811459d	group	0	none	2
SAMN04284303	group_L1_2b92d98c	group	1	none	2
SAMN04284303	group_L2_91ae4426	group	2	none	2
SAMN04284303	group_L3_39807bfe	group	3	none	2
SAMN04284303	group_L4_fce8baba	group	4	none	2
SAMN04284304	group_L0_45578587	group	0	none	2
SAMN04284304	group_L1_8301aa7e	group	1	none	2
SAMN04284304	group_L2_d7ca5598	group	2	none	2
SAMN04284304	group_L3_c3ed879b	group	3	none	2
SAMN04284304	group_L4_db2f53f3	group	4	none	2
SAMN04284305	group_L0_45578587	group	0	none	2
SAMN04284305	group_L1_8301aa7e	group	1	none	2
SAMN04284305	group_L2_d7ca5598	group	2	none	2
SAMN04284305	group_L3_c3ed879b	group	3	none	2
SAMN04284305	group_L4_db2f53f3	group	4	none	2
SAMN04284307	group_L0_d2b1b0f9	group	0	none	2
SAMN04284307	group_L1_46d2fade	group	1	none	2
SAMN04284307	group_L2_de0ee1b3	group	2	none	2
SAMN04284307	group_L3_30287fbb	group	3	none	2
SAMN04284307	group_L4_3db44581	group	4	none	2
SAMN04284308	group_L0_d2b1b0f9	group	0	none	2
SAMN04284308	group_L1_46d2fade	group	1	none	2
SAMN04284308	group_L2_de0ee1b3	group	2	none	2
SAMN04284308	group_L3_30287fbb	group	3	none	2
SAMN04284308	group_L4_3db44581	group	4	none	2
SAMN04284311	group_L0_3016eef4	group	0	none	2
SAMN04284311	group_L1_c8ddf2f5	group	1	none	2
SAMN04284311	group_L2_8f9b9d96	group	2	none	2
SAMN04284311	group_L3_fa34d7ac	group	3	none	2
SAMN04284311	group_L4_16d62a3e	group	4	none	2
SAMN04284312	group_L0_3016eef4	group	0	none	2
SAMN04284312	group_L1_c8ddf2f5	group	1	none	2
SAMN04284312	group_L2_8f9b9d96	group	2	none	2
SAMN04284312	group_L3_fa34d7ac	group	3	none	2
SAMN04284312	group_L4_16d62a3e	group	4	none	2
SAMN04284313	group_L0_7c5b127d	group	0	none	2
SAMN04284313	group_L1_b2cb2162	group	1	none	2
SAMN04284313	group_L2_6286bb2f	group	2	none	2
SAMN04284313	group_L3_8fdc10eb	group	3	disease_vs_normal	2
SAMN04284313	group_L4_23322863	group	4	disease_vs_normal	2
SAMN04284314	group_L0_cfa5778c	group	0	differentiation	2
SAMN04284314	group_L1_a930d732	group	1	differentiation	2
SAMN04284314	group_L2_ed05c757	group	2	differentiation	2
SAMN04284314	group_L3_6821b920	group	3	differentiation	2
SAMN04284314	group_L4_a5c9741f	group	4	differentiation	2
SAMN04284315	group_L0_7c5b127d	group	0	none	2
SAMN04284315	group_L1_b2cb2162	group	1	none	2
SAMN04284315	group_L2_6286bb2f	group	2	none	2
SAMN04284315	group_L3_8fdc10eb	group	3	disease_vs_normal	2
SAMN04284315	group_L4_23322863	group	4	disease_vs_normal	2
SAMN04284320	group_L0_a9315fc6	group	0	none	2
SAMN04284320	group_L1_49ce7287	group	1	none	2
SAMN04284320	group_L2_099dddb7	group	2	none	2
SAMN04284320	group_L3_e0bee885	group	3	none	2
SAMN04284320	group_L4_0159583e	group	4	none	2
SAMN04284321	group_L0_a9315fc6	group	0	none	2
SAMN04284321	group_L1_49ce7287	group	1	none	2
SAMN04284321	group_L2_099dddb7	group	2	none	2
SAMN04284321	group_L3_e0bee885	group	3	none	2
SAMN04284321	group_L4_0159583e	group	4	none	2
SAMN04284326	group_L0_3f0e6a94	group	0	none	7
SAMN04284326	group_L1_053d5ea3	group	1	none	7
SAMN04284326	group_L2_1cf8ccd8	group	2	none	7
SAMN04284326	group_L3_5a704de2	group	3	none	7
SAMN04284326	group_L4_9217c295	group	4	none	7
SAMN04284327	group_L0_3f0e6a94	group	0	none	7
SAMN04284327	group_L1_053d5ea3	group	1	none	7
SAMN04284327	group_L2_1cf8ccd8	group	2	none	7
SAMN04284327	group_L3_5a704de2	group	3	none	7
SAMN04284327	group_L4_9217c295	group	4	none	7
SAMN04284355	group_L0_d73dc623	group	0	none	3
SAMN04284355	group_L1_f6b95af5	group	1	none	3
SAMN04284355	group_L2_4d48ed48	group	2	none	3
SAMN04284355	group_L3_53e31d43	group	3	none	3
SAMN04284355	group_L4_db2f53f3	group	4	none	3
SAMN04284358	group_L0_d73dc623	group	0	none	3
SAMN04284358	group_L1_f6b95af5	group	1	none	3
SAMN04284358	group_L2_4d48ed48	group	2	none	3
SAMN04284358	group_L3_53e31d43	group	3	none	3
SAMN04284358	group_L4_db2f53f3	group	4	none	3
SAMN04284367	group_L0_124a52b9	group	0	disease_vs_normal	2
SAMN04284367	group_L1_a65157e4	group	1	disease_vs_normal	2
SAMN04284367	group_L2_da1b4376	group	2	disease_vs_normal	2
SAMN04284367	group_L3_bdbfb787	group	3	disease_vs_normal	2
SAMN04284367	group_L4_93e1c603	group	4	disease_vs_normal	2
SAMN04284410	group_L3_c07e77f7	group	3	none	2
SAMN04284410	group_L4_58a2aa96	group	4	none	2
SAMN04284412	group_L3_c07e77f7	group	3	none	2
SAMN04284412	group_L4_58a2aa96	group	4	none	2
SAMN04284414	group_L0_28ae8ab4	group	0	none	2
SAMN04284414	group_L1_1982c799	group	1	none	2
SAMN04284414	group_L2_4f372f3b	group	2	none	2
SAMN04284414	group_L3_34bc4752	group	3	none	2
SAMN04284414	group_L4_c57f1224	group	4	none	2
SAMN04284421	group_L0_cfa5778c	group	0	differentiation	2
SAMN04284421	group_L1_a930d732	group	1	differentiation	2
SAMN04284421	group_L2_ed05c757	group	2	differentiation	2
SAMN04284421	group_L3_6821b920	group	3	differentiation	2
SAMN04284421	group_L4_a5c9741f	group	4	differentiation	2
SAMN04284423	group_L0_654e1e5a	group	0	none	2
SAMN04284423	group_L1_770c0a4b	group	1	none	2
SAMN04284423	group_L2_1b149c04	group	2	none	2
SAMN04284423	group_L3_e4f0cb99	group	3	none	2
SAMN04284423	group_L4_ece8b1d0	group	4	none	2
SAMN04284445	group_L0_75517356	group	0	none	2
SAMN04284445	group_L1_c710efde	group	1	none	2
SAMN04284445	group_L2_dcc43da7	group	2	none	2
SAMN04284445	group_L3_8920c39e	group	3	none	2
SAMN04284445	group_L4_c57f1224	group	4	none	2
SAMN04284451	group_L0_fb2700f7	group	0	disease_vs_normal	2
SAMN04284451	group_L1_d7c93065	group	1	disease_vs_normal	2
SAMN04284451	group_L2_482e00b3	group	2	disease_vs_normal	2
SAMN04284451	group_L3_c701c014	group	3	disease_vs_normal	2
SAMN04284451	group_L4_c93be1cf	group	4	disease_vs_normal	2
SAMN04284452	group_L0_fb2700f7	group	0	disease_vs_normal	2
SAMN04284452	group_L1_d7c93065	group	1	disease_vs_normal	2
SAMN04284452	group_L2_482e00b3	group	2	disease_vs_normal	2
SAMN04284452	group_L3_c701c014	group	3	disease_vs_normal	2
SAMN04284452	group_L4_c93be1cf	group	4	disease_vs_normal	2
SAMN04284453	group_L3_3187a643	group	3	disease_vs_normal	2
SAMN04284453	group_L4_c6a90e54	group	4	disease_vs_normal	2
SAMN04284454	group_L3_3187a643	group	3	disease_vs_normal	2
SAMN04284454	group_L4_c6a90e54	group	4	disease_vs_normal	2
SAMN04284463	group_L0_124a52b9	group	0	disease_vs_normal	2
SAMN04284463	group_L1_a65157e4	group	1	disease_vs_normal	2
SAMN04284463	group_L2_da1b4376	group	2	disease_vs_normal	2
