samn	gsm_a	gsm_b	stratum	pearson_log1p	spearman	lib_a	lib_b	lib_ratio
SAMN04284488	GSM2072487	GSM2071556	identical_meta	0.7526470642789249	0.7166140871191183	47052491	8493387	0.18050876413748213
SAMN06044596	GSM2400222	GSM2400211	identical_meta	0.9353532122774469	0.8815200377969564	97241296	102495984	1.0540376179272641
SAMN04284308	GSM2071287	GSM2072398	identical_meta	0.726157172020699	0.7199498255079924	28432725	62497290	2.198075984626869
SAMN19596980	GSM5374535	GSM5369898	identical_meta	0.9806509565727375	0.8975223265893363	13070865	26890498	2.057285267654436
SAMN04284299	GSM2071280	GSM2072391	identical_meta	0.413629457845383	0.48974849807348375	17424789	59278239	3.4019487409574944
SAMN05897674	GSM2344186	GSM2344399	instrument_mix	0.43250145191852357	0.3947288057769945	36133183	8178832	0.2263523808572303
SAMN19597214	GSM5379095	GSM5374588	instrument_mix	0.9787389566864821	0.9014891592696489	61801207	18701163	0.3026019054935286
SAMN05897654	GSM2344272	GSM2343128	instrument_mix	0.34681682962184085	0.3224072627008358	9666041	42647472	4.412093017192872
SAMN05897134	GSM2343886	GSM2343230	instrument_mix	0.5243880260381437	0.5147642329881171	16176531	14755644	0.9121636771196494
SAMN05896901	GSM2343270	GSM2343530	instrument_mix	0.522149123567588	0.5245314950901436	11137321	45533365	4.088358861165984
