samn	n_gsm	n_gse	gsm_list	gse_list	instrument_uniq	instrument_mix	dp_uniq	dp_mix	molecule_uniq	molecule_mix	libsrc_uniq	libsrc_mix	extract_uniq	extract_mix	libsize_min	libsize_max	libsize_ratio	title_uniq
SAMN22786064	9	6	GSM5670164;GSM5669344;GSM5667422;GSM5670053;GSM5668160;GSM5670166;GSM5669347;GSM5668898;GSM5667420	GSE188085;GSE187702;GSE187121;GSE188028;GSE187387;GSE187552	1	FALSE	1	FALSE	1	FALSE	1	FALSE	1	FALSE	33195435	49672158	1.4963550861737465	9
SAMN22786159	9	6	GSM5668897;GSM5670165;GSM5670054;GSM5670167;GSM5667419;GSM5667423;GSM5669345;GSM5669342;GSM5668162	GSE187552;GSE188085;GSE188028;GSE187121;GSE187702;GSE187387	1	FALSE	1	FALSE	1	FALSE	1	FALSE	1	FALSE	31128288	40369678	1.2968807664591127	9
SAMN04284324	8	8	GSM2072362;GSM5330997;GSM2072366;GSM2072360;GSM2072371;GSM2071263;GSM2072365;GSM2072369	GSE78557;GSE175163;GSE78559;GSE78556;GSE78561;GSE78289;GSE78558;GSE78560	2	TRUE	1	FALSE	1	FALSE	1	FALSE	7	TRUE	27141908	93186000	3.433288477729716	8
SAMN04284325	8	8	GSM2072368;GSM2072364;GSM2072367;GSM2072370;GSM2071264;GSM2072361;GSM2072363;GSM5330998	GSE78560;GSE78558;GSE78559;GSE78561;GSE78289;GSE78556;GSE78557;GSE175163	2	TRUE	1	FALSE	1	FALSE	1	FALSE	7	TRUE	27124443	97308053	3.5874673260571655	8
SAMN04284326	8	8	GSM2072354;GSM2072351;GSM2072352;GSM5331123;GSM2071261;GSM2072358;GSM2072348;GSM2072357	GSE78553;GSE78551;GSE78552;GSE175228;GSE78288;GSE78555;GSE78550;GSE78554	2	TRUE	1	FALSE	1	FALSE	1	FALSE	7	TRUE	28285128	77648529	2.745206915803952	8
SAMN22786062	8	5	GSM5670163;GSM5670168;GSM5668896;GSM5667421;GSM5669343;GSM5668161;GSM5669346;GSM5667424	GSE188085;GSE187552;GSE187121;GSE187702;GSE187387	1	FALSE	1	FALSE	1	FALSE	1	FALSE	1	FALSE	32400357	45007260	1.3890976571647036	8
SAMN04284327	7	7	GSM2072349;GSM2072355;GSM2071262;GSM5331122;GSM2072350;GSM2072353;GSM2072359	GSE78550;GSE78553;GSE78288;GSE175228;GSE78551;GSE78552;GSE78555	2	TRUE	1	FALSE	1	FALSE	1	FALSE	6	TRUE	19116590	117262954	6.134093685118528	7
SAMN19596780	5	5	GSM5378926;GSM5375141;GSM5379337;GSM5374649;GSM5379153	GSE177794;GSE177516;GSE177955;GSE177388;GSE177894	2	TRUE	1	FALSE	1	FALSE	1	FALSE	5	TRUE	11278195	58880662	5.220752256899265	5
SAMN04284356	4	4	GSM2071404;GSM2072609;GSM2344099;GSM2071530	GSE78379;GSE78682;GSE88508;GSE78438	2	TRUE	1	FALSE	1	FALSE	1	FALSE	4	TRUE	37206352	57115461	1.5350997324327846	4
SAMN04284357	4	4	GSM2072612;GSM2343106;GSM2071355;GSM2071466	GSE78683;GSE87963;GSE78347;GSE78416	2	TRUE	1	FALSE	1	FALSE	1	FALSE	4	TRUE	34201386	51303217	1.5000332735053485	4
SAMN04284359	4	4	GSM2071531;GSM2071405;GSM2344100;GSM2072610	GSE78438;GSE78379;GSE88508;GSE78682	2	TRUE	1	FALSE	1	FALSE	1	FALSE	4	TRUE	8847282	57326113	6.4795168730916455	4
SAMN04284360	4	4	GSM2071465;GSM2071356;GSM2343105;GSM2072611	GSE78416;GSE78347;GSE87963;GSE78683	2	TRUE	1	FALSE	1	FALSE	1	FALSE	4	TRUE	17600860	59065582	3.355834998971641	4
SAMN05896890	4	4	GSM5379520;GSM5374104;GSM2343694;GSM5375487	GSE178041;GSE177144;GSE88266;GSE177590	1	FALSE	1	FALSE	1	FALSE	1	FALSE	4	TRUE	16218564	25941422	1.5994894492508709	4
SAMN05896965	4	2	GSM2344230;GSM2344231;GSM2344304;GSM2344303	GSE88583;GSE88627	1	FALSE	1	FALSE	1	FALSE	1	FALSE	1	FALSE	42774821	70828492	1.6558454329943308	4
SAMN19596930	4	4	GSM5378700;GSM5369867;GSM5370366;GSM5375233	GSE177693;GSE176686;GSE176920;GSE177535	1	FALSE	1	FALSE	1	FALSE	1	FALSE	4	TRUE	18413832	43994315	2.389199325811162	4
SAMN04284314	3	3	GSM2344260;GSM2072603;GSM2071513	GSE88601;GSE78679;GSE78431	2	TRUE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	44407814	71717981	1.6149856194227439	3
SAMN04284355	3	3	GSM2071431;GSM2072585;GSM2343786	GSE78395;GSE78670;GSE88324	2	TRUE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	4507681	70112785	15.554069819936238	3
SAMN04284358	3	3	GSM2343787;GSM2071430;GSM2072586	GSE88324;GSE78395;GSE78670	2	TRUE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	4538161	77946056	17.17569209201701	3
SAMN04284476	3	3	GSM2343463;GSM2072491;GSM2071361	GSE88131;GSE78623;GSE78351	2	TRUE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	54613914	76657571	1.4036271233004836	3
SAMN04284498	3	3	GSM2343462;GSM2072492;GSM2071362	GSE88131;GSE78623;GSE78351	2	TRUE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	43905097	72752991	1.6570511391877805	3
SAMN04875913	3	3	GSM2138733;GSM2138814;GSM2343633	GSE80867;GSE80908;GSE88231	1	FALSE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	17845958	38309942	2.14670134267939	3
SAMN04875916	3	3	GSM2138815;GSM2343632;GSM2138732	GSE80908;GSE88231;GSE80867	1	FALSE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	24639953	33452119	1.3576372893243749	3
SAMN05897169	3	3	GSM2343695;GSM5375486;GSM5379521	GSE88266;GSE177590;GSE178041	1	FALSE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	10462746	26885270	2.569618912664037	3
SAMN19596593	3	3	GSM5370494;GSM5369996;GSM5379567	GSE176983;GSE176746;GSE178063	1	FALSE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	12568400	40065170	3.1877701218930015	3
SAMN19596945	3	3	GSM5369997;GSM5370495;GSM5374789	GSE176746;GSE176983;GSE177451	1	FALSE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	12416758	22639106	1.8232702932601248	3
SAMN19597310	3	3	GSM5369866;GSM5375232;GSM5378699	GSE176686;GSE177535;GSE177693	1	FALSE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	17030665	37725965	2.215178620447293	3
SAMN19597351	3	3	GSM5378925;GSM5379154;GSM5375142	GSE177794;GSE177894;GSE177516	3	TRUE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	14114139	100754086	7.138521591717355	3
SAMN19597357	3	3	GSM5369638;GSM5370013;GSM5378669	GSE176616;GSE176753;GSE177677	1	FALSE	1	FALSE	1	FALSE	1	FALSE	3	TRUE	14355884	39757558	2.7694259719568644	3
