gene_id,gene_symbol,logFC_pool,SE_pool,p_value_pool,FDR_BH_within_cluster,k_effective,tau2,I2,direction_applied
ENSG00000000018,HGNC18,-7.969366262714328,1.6938732525428657,3.5335044207374984e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000019,HGNC19,-7.321400785726558,1.5642801571453118,5.474261234931227e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000012,HGNC12,6.85993617810332,1.471987235620664,6.498758726234508e-4,0.0034203993295971098,5,NA,NA,none
ENSG00000000009,HGNC9,6.055271141631126,1.3110542283262252,2.524585141955538e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000025,HGNC25,5.685580383794896,1.2371160767589793,3.1368389068417104e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000022,HGNC22,-5.343925301940001,1.1687850603880001,1.7163219600480477e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000007,HGNC7,4.534565992316817,1.0069131984633635,9.677336704587295e-4,0.003870934681834918,5,NA,NA,none
ENSG00000000013,HGNC13,-4.166582103337018,0.9333164206674036,3.364191986633959e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000001,HGNC1,4.112875341440006,0.9225750682880012,8.851176985403471e-4,0.003870934681834918,5,NA,NA,none
ENSG00000000020,HGNC20,3.9603400371905764,0.8920680074381152,8.927186045509328e-4,0.003870934681834918,5,NA,NA,none
ENSG00000000011,HGNC11,3.9146089626704557,0.8829217925340911,5.420159866806715e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000024,HGNC24,3.6440240975177964,0.8288048195035592,9.614676997413623e-4,0.003870934681834918,5,NA,NA,none
ENSG00000000016,HGNC16,1.907851194210223,0.48157023884204464,8.387550495691099e-4,0.003870934681834918,5,NA,NA,none
ENSG00000000004,HGNC4,1.8985878148831212,0.47971756297662427,4.4279632398793015e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000002,HGNC2,-1.694094514188266,0.43881890283765324,5.17111103841854e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000005,HGNC5,1.2128049694229972,0.3425609938845995,1.5788018463359745e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000003,HGNC3,1.0893852340120176,0.31787704680240353,8.51930999801298e-4,0.003870934681834918,5,NA,NA,none
ENSG00000000021,HGNC21,-0.9199157822354236,0.2839831564470847,4.899906215833924e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000017,HGNC17,-0.8527587642482172,0.27055175284964345,5.746373768644113e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000014,HGNC14,-0.836366300452114,0.26727326009042285,6.094984019152189e-5,0.003192429871468952,5,NA,NA,none
ENSG00000000023,HGNC23,-0.515752067278864,0.2031504134557728,5.430310397098525e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000015,HGNC15,-0.3999640091809741,0.17999280183619482,4.513109050831281e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000006,HGNC6,-0.3183735482744521,0.16367470965489042,4.423246945998966e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000008,HGNC8,-0.2839771152392927,0.15679542304785854,4.845879809855946e-4,0.003192429871468952,5,NA,NA,none
ENSG00000000010,HGNC10,-0.188142297157263,0.1376284594314526,2.5969005421752395e-4,0.003192429871468952,5,NA,NA,none
