"cluster_id","kind","n_studies","gsm","source_text","char_text","title_text","det_agent_id","det_name","det_source","disease_or_compound_gold"
"pair_L3_6f47546f","cytokine_stim",2,"GSM4932293","Activated CD4+ T cells, 24 hrs, donor 3","tissue: blood,cell type: CD4+,treatment: anti-CD3/anti-CD28,gender: female","Activated CD4+_24hrs_Donor 3","STR:anti_cd3_anti_cd28","anti-cd3/anti-cd28","STR_FALLBACK",
"group_L3_ec8987e1","disease_vs_normal",2,"GSM5966563","fibroblasts","tissue: fibroblasts,disease state: Niemann Pick type A,treatment: untreated","NPA_untrt_rep1","STR:niemann_pick_type_a","niemann pick type a","STR_FALLBACK",
"group_L3_e4b0747b","disease_vs_normal",2,"GSM3538059","cholangiocarcinoma cell lines","cell line: cholangiocarcinoma cell line KKK-D068,cell line source: Thai,rrid: n/a","KKK-D068_RNAseq","STR:cholangiocarcinoma_cell_lines","cholangiocarcinoma cell lines","STR_FALLBACK",
"group_L3_1b47fa61","disease_vs_normal",2,"GSM5739915","Ovary","disease state: gastric adenocarcinoma,pathological types: adenocarcinoma with low differentiation,tissue: ovarian metastasis of gastric adenocarcinoma,individual: FDC1","FDC1M","STR:gastric_adenocarcinoma","gastric adenocarcinoma","STR_FALLBACK",
"group_L4_24b33a96","disease_vs_normal",10,"GSM3150255","Lymph node","cell line: REC-1,nhl subtype: Mantle cell lymphoma,age: 57 yrs,cell type: B-cell","REC-1",,,"NO_RECOVERY",
"group_L2_e4486db4","disease_vs_normal",2,"GSM7036767","Leiomyoma","tissue: Leiomyoma,genotype: WT,race: African American","221L",,,"NO_RECOVERY",
"group_L1_ef8b9068","disease_vs_normal",2,"GSM5533871","CAL51","cell type: breast cancer cell line,passages: Low passages (6-10),strain: CAL51_CARMi,genotype: wild type","CARM1i_Rep2",,,"NO_RECOVERY",
"group_L1_307c7ca7","disease_vs_normal",8,"GSM3682786","Tumor","genotype: H3.3K27M,treatment: None","PH1157","MeSH:D009369","Neoplasms","MESH_NAME",
"group_L0_0c44d4e6","disease_vs_normal",2,"GSM2758475","High grade glioma tissue","age: 56,gender: Female,location: left temporal,diagnosis: Anaplastic Astrocytoma, WHO grade III,idh1 status: wt,egfr status: not amplified","PJ030","MeSH:D001254","Astrocytoma","MESH_NAME",
"group_L1_74b4e404","disease_vs_normal",2,"GSM6601085","Castration-resistant prostate cancer","cell line: C4-2,tissue: Prostate,genotype: CHD6 Control,treatment: None","RNAseq, CHD6_Control_shScr1",,,"NO_RECOVERY",
"group_L2_9c21fa1c","disease_vs_normal",5,"GSM3097221","PC-3","rnase r treatment: no,treatment: N/A,cell line: PC-3,cell type: prostate cancer cell line","Sample_PC3-",,,"NO_RECOVERY",
"group_L0_2d4881f3","disease_vs_normal",7,"GSM4698564","placenta","case: P1,tissue type: Formalin fixed paraffin embedded tissue","caseP1-placenta1",,,"NO_RECOVERY",
"group_L2_bebec2cf","disease_vs_normal",2,"GSM7552874","Brain","tissue: Brain,brain region: BA9,age: 66,alzheimers status: ADpos,covid status: CONTROL,Sex: Female","CONTROL_ADpos, subject 7, region BA9",,,"NO_RECOVERY",
"group_L2_8a7739d2","disease_vs_normal",2,"GSM3212785","cell culture","cell line: WM1976,tissue: skin,tumor stage: malignant melanoma,genotype/variation: scrambled control","RNA-seq_scrambled control rep1",,,"NO_RECOVERY",
"group_L0_cc38e3f7","disease_vs_normal",5,"GSM5430340","DU145 prostate cancer cell line","disease: prostate cancer,genotype: LIN28A-; TUT4-; TUT7-,type: CRISPR Clone 163.4.26.8,passage number: P11","RNA DU145-LIN28A negative-TUT4/7-mutant_2-rep4","MeSH:D011471","Prostatic Neoplasms","MESH_NAME",
"group_L3_0ff48aee","disease_vs_normal",2,"GSM5211671","Tumor","disease state: Tumor,sample type: ENKTL,isolation type: FFPE,pdx-derived: No,pdx treatment: --,sorted population: --","Total RNA from ENKTL18","MeSH:D009369","Neoplasms","MESH_NAME",
"group_L1_ad36ee47","disease_vs_normal",2,"GSM5195625","Pancreas","treatment: No therapy,disease state: Stage I","Organoid 1","STR:stage_i","stage i","STR_FALLBACK",
"group_L3_55fbd047","disease_vs_normal",8,"GSM3110264","Hepatocellular carcinoma","tissue: Liver,molecular subtype: S2,disease state: HCC","AJHCC100","STR:hcc","hcc","STR_FALLBACK",
"group_L3_c29f9d81","disease_vs_normal",2,"GSM4950950","Metastatic colonic carcinoma","cell type: Intestinal epithelial cells,treatment: Untreated,cell line: T84","Untx 1","STR:metastatic_colonic_carcinoma","metastatic colonic carcinoma","STR_FALLBACK",
"group_L3_bf9802c5","disease_vs_normal",4,"GSM4132971","biopsy","disease state: Crohn's disease,Sex: FEMALE,treatment: NO,cdai: 0,pcr: 1.05,sescd global: 6,sescd local: 0,exact location: ASCENDING COLON,time: TM36,patient id: 13,affected area: COLON,involved: HEALTHY,active area: HEALTHY,transplant: Post,surgery: NO,age diagnostic: 27.1101984941821,age sample: 39.4","13-TM36-TTR-CH; Crohn's disease","MeSH:D003424","Crohn Disease","MESH_NAME",
"group_L2_ed174907","disease_vs_normal",2,"GSM5253811","sPE_Endometrial biopsy_Train","tissue: Endometrium,patient: sPE (developed sPE in a previous pregnancy),sample group: Train","sPE16 [EP-PE01_S19]",,,"NO_RECOVERY",
"group_L0_6d2ff0c8","disease_vs_normal",2,"GSM5823844","colon cancer organoids","tissue: colon,activity phenotype: low","Autophagy-low_rep1","STR:colon_cancer_organoids","colon cancer organoids","STR_FALLBACK",
"group_L1_ec48c423","disease_vs_normal",2,"GSM5221376","human SCLC derived PDX","tissue: PDX,tumor type: human SCLC,pdx: JHU-LX108,treatment: Vehicle","H8733vehicle","STR:human_sclc","human sclc","STR_FALLBACK",
"group_L3_a611e12d","disease_vs_normal",3,"GSM4133225","Pancreatic adenocarcinoma mouse xenograft","tissue: Pancreatic adenocarcinoma,material: tumour piece,patient: 12556,sample type: Primary pancreatic adenocarcinoma xenograft","12556 PDX","STR:pancreatic_adenocarcinoma_mouse_xenograft","pancreatic adenocarcinoma mouse xenograft","STR_FALLBACK",
"group_L3_0dbf03ab","disease_vs_normal",3,"GSM3728387","P1A8_DMSO","cell type: MUC1 kidney disease patient derived kidney epithelial cells,treament: DMSO","P1A8_DMSO_1",,,"NO_RECOVERY",
"group_L1_8deef6cc","disease_vs_normal",2,"GSM6725533","leukocyte","disease: temporal lobe epilepsy,cell type: leukocyte,seizure group: low,baseline seizure_frequency: 2","TLE - low freq 7","MeSH:D004833","Epilepsy, Temporal Lobe","MESH_NAME",
"group_L1_6add388c","disease_vs_normal",2,"GSM2713948","Bronchi","age: 21,Sex: M,clinical condition: Asthma + Rhinitis","B.AR6",,,"NO_RECOVERY",
"group_L2_3bbc6832","disease_vs_normal",2,"GSM4552709","primary CLL cells","patient: P10,condition: ctr,replicate: replicate1,disease: DEL13","P10_CNT.replicate1","STR:ctr","ctr","STR_FALLBACK",
"group_L3_239ba648","disease_vs_normal",3,"GSM4216345","Stroma derived from primary colorectal tumour","tissue: Stroma derived from primary colorectal tumour","Pat 1 Primary CRC Stroma","STR:stroma_derived_from_primary_colorectal_tumour","stroma derived from primary colorectal tumour","STR_FALLBACK",
"pair_L4_89a68b2d","disease_vs_normal",2,"GSM2891736","synovial fluid","disease state: inflammatory arthritis,tissue: synovial fluid,cell type: CD141+ DC","IA synovial 1 (CD141+ DC)","STR:inflammatory_arthritis","inflammatory arthritis","STR_FALLBACK",
"group_L2_297b2703","disease_vs_normal",3,"GSM1203305","acute myeloid leukemia","tissue: bone marrow","02H053","MeSH:D015470","Leukemia, Myeloid, Acute","MESH_NAME",
"group_L2_4776c520","disease_vs_normal",2,"GSM3595874","gastric mucosa","tumor or normal: adenocarcinoma","S0250T",,,"NO_RECOVERY",
"group_L3_12982f2e","disease_vs_normal",9,"GSM2713974","Nose","age: 21,Sex: M,clinical condition: Asthma + Rhinitis","N.AR6",,,"NO_RECOVERY",
"group_L0_7d534ca9","disease_vs_normal",19,"GSM3675987","breast cancer cells","cell line: MCF7,growth protocol: control (parental cell),treatment: MCF7 parental cells with DOX-inducible expression of JUN-without DOX treatment,growth medium: Full media","MCF7_noDox_rep1_RNAseq","STR:breast_cancer_cells","breast cancer cells","STR_FALLBACK",
"pair_L3_faeb5d84","pathogen_or_aggregate_exposure",4,"GSM4766605","Primary human astrocytes","treatment: 10 nm AÎ² TNF-Î± IL-1Î±,donor age: fetal,supplier/gender: Gibco/male","donor1_AÎ²cytokineduplet-3","STR:10_nm_a_tnf_il_1","10 nm aî² tnf-î± il-1î±","STR_FALLBACK",
"group_L3_7bca2ebd","pathogen_or_aggregate_exposure",2,"GSM4705648","infected group","tissue: lung organoid,group: infected with SARS-CoV2","CoV2-1",,,"NO_RECOVERY",
"pair_L4_3bfeaf19","pathogen_or_aggregate_exposure",3,"GSM4942691","Nasal Epithelial Cells","hpi: 8,virus: 382-deletion-mutant,donor: 1","Ak4",,,"NO_RECOVERY",
"pair_L4_a4d19578","pathogen_or_aggregate_exposure",2,"GSM8124607","Blood","tissue: Blood,subject: Don1,cell type: Mono-derived DC,genotype: WT,treatment: Pam3CSK4 10ng/ml+Isotype Control Ab","Don1 Pam3+ISO 2hr",,,"NO_RECOVERY",
"group_L3_da63f45b","pathogen_or_aggregate_exposure",4,"GSM2686847","Peripheral blood mononuclear cells from 18ml venous whole blood","ethnic group: Mossi,individual: 5,cell population: CD14- lymphocytes,ID: 125","Individual 5. Mossi. Infected. Lymphocyte. RNA-Seq",,,"NO_RECOVERY",
"group_L2_14d95b39","small_molecule",6,"GSM3171651","A375_5Î¼M RGZ and 2Î¼M T007 for 24hrs","cell line: A375,cell type: metastatic melanoma,tissue source: skin,passages: 30-32,treated with: 5Î¼M RGZ and 2Î¼M T007 for 24hrs","exp54_1_r&t [rt1]",,,"NO_RECOVERY",
"group_L3_948b29c4","small_molecule",47,"GSM2881023","Adult Human Peripheral Blood","cell type: Monocyte,diagnosis: healthy,donor: Donor_2","Donor2_RNA_Uric_acid_24_hours_LPS_4h",,,"NO_RECOVERY",
"group_L3_8cc355cb","small_molecule",2,"GSM5023048","Malignant rhabdoid tumor of kidney cell line","cell line: DTMYC G401 cells,treatment: 500 nM dTAG47,passage: ten-thirty","RNAseq DTMYC dTAG47 rep1","HGNC:DTMYC","DTMYC","K2_GENETIC",
"group_L2_d4645dbd","small_molecule",4,"GSM8322803","MCF7","cell line: MCF7,cell type: breast cancer,treatment: Plus Ser/Gly 48 hr","MCF7 cells, +SerGly, rep 1","STR:plus_ser_gly_48_hr","plus ser/gly 48 hr","STR_FALLBACK",
"group_L3_59b978d0","small_molecule",2,"GSM6312401","Whole Blood","tissue: Whole Blood,time: Day 0","blood, Day 0, UGA4, 100",,,"NO_RECOVERY",
"group_L0_ae5ebe99","small_molecule",2,"GSM7518120","LNCaP-ABL","cell line: LNCaP-ABL,cell type: prostate,treatment: Ethisterone","LNCaPabl_Ethisterone_1","CHEBI:34749","ethisterone","CHEBI_ALIAS",
"pair_L2_70b1b096","small_molecule",2,"GSM2784968","LNCaP_MKC8866","cell line: LNCaP,cell type: Human prostate cancer cells,passage: 20,treated with: 10 Î¼M MKC8866 for 24hrs","LNCaP MKC8866-1",,,"NO_RECOVERY",
"group_L4_c5f681d9","small_molecule",6,"GSM3208386","PBMCs","yu2 strain infection: Not Infected,cell type: purified CD4+ T cells,tissue: PBMCs,treatment: 464","D4_464","STR:464","464","STR_FALLBACK",
"pair_L4_027257d3","small_molecule",3,"GSM6057142","A549","cell line: A549,cell type: Lung adenocarcinoma cell,genotype: FDI6 treatment,treatment: FDI6","A549, FDI6, rep1","STR:fdi6","fdi6","STR_FALLBACK",
"pair_L4_70a4ca10","small_molecule",2,"GSM1540651","Human MG63 osteosarcoma cells","tissue: Bone,age: 14 years old,cell line: MG63 osteosarcoma cells,genotype/variation: Control,agent: 1,25D","Vitamin D, CTRL, rep1","STR:1","1","STR_FALLBACK",
"group_L4_26d2ccf8","small_molecule",2,"GSM6779179","melanoma tumor","tissue: melanoma tumor,cell type: CD8+ T-cell,patient id: 5,time: After,outcome: NED,treatment: IPI/NIVO, followed by NIVO","T cells, After Treatment, NED [SEQADJ012]","STR:ipi_nivo","ipi/nivo","STR_FALLBACK",
"group_L3_114af83d","small_molecule",4,"GSM7764055","Whole blood","tissue: Whole blood,disease: UC,Sex: female,age: 37,sequencing plate: 9","UC480",,,"NO_RECOVERY",
"group_L3_95f43f0d","small_molecule",2,"GSM3554333","pancreatic islets_minus (IFNa)","subject status: non-diabetic donor,tissue/cell type: pancreatic islets","Isl 1 minus (IFNa)",,,"NO_RECOVERY",
