"cluster_id","kind","agent_id_v5","n_studies","gsm","in_h5","new_agent_id","new_canon","new_src","is_strong"
"pair_L3_d8efa314","cytokine_stim","UNK",1,"GSM3500691",TRUE,,,"NO_RECOVERY",FALSE
"group_L2_c8df22c4","cytokine_stim","STR:interferon lambda",1,"GSM2795895",TRUE,"STR:ifnl","ifnl","STR_FALLBACK",FALSE
"group_L2_91370a84","cytokine_stim","STR:interferon beta-1a",1,"GSM7057272",TRUE,"HGNC:THPO","THPO","CYTOKINE_IMMPORT",TRUE
"group_L2_fef1d725","cytokine_stim","STR:treated_with_il1_and_tnf",1,"GSM4914116",TRUE,"HGNC:TNF","TNF","CYTOKINE_IMMPORT",TRUE
"group_L1_6c9de292","cytokine_stim","STR:il_4_gm_csf_5_7_days",1,"GSM5283160",TRUE,"STR:il_4_gm_csf_5_7_days","il-4/gm-csf 5-7 days","STR_FALLBACK",FALSE
"pair_L1_c93b30ea","cytokine_stim","STR:10_ng_ml_ifn",1,"GSM6234553",TRUE,"HGNC:IFNA1","IFNA1","CYTOKINE_IMMPORT",TRUE
"group_L2_b2237214","cytokine_stim","STR:interferon gamma",1,"GSM5639745",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"group_L3_36f7c196","cytokine_stim","STR:interferon lambda-3",1,"GSM4912468",TRUE,"HGNC:IFNL3","IFNL3","CYTOKINE_IMMPORT",TRUE
"pair_L1_97bf6f09","cytokine_stim","STR:transforming growth factor beta",1,"GSM2345127",TRUE,"HGNC:TGFB1","TGFB1","CYTOKINE_IMMPORT",TRUE
"group_L0_cb74dcfe","cytokine_stim","STR:treated_with_il1_and_tnf_for_2_days",1,"GSM4914121",TRUE,"HGNC:TNF","TNF","CYTOKINE_IMMPORT",TRUE
"group_L4_33cb90f1","cytokine_stim","STR:interleukin-5",1,"GSM4426295",TRUE,"HGNC:IL5","IL5","CYTOKINE_IMMPORT",TRUE
"group_L0_5f2d5bcd","cytokine_stim","STR:transforming growth factor alpha",1,"GSM3004854",TRUE,"HGNC:TGFA","TGFA","CYTOKINE_IMMPORT",TRUE
"pair_L4_9166c1cb","cytokine_stim","STR:il17a_50ng_ml_il22_10ng_ml",1,"GSM5726852",TRUE,"HGNC:IL17A","IL17A","CYTOKINE_IMMPORT",TRUE
"pair_L0_8cabded5","cytokine_stim","STR:immunoglobulin m",1,"GSM6394816",TRUE,"HGNC:CD40LG","CD40LG","CYTOKINE_IMMPORT",TRUE
"group_L2_0a6fbbef","cytokine_stim","STR:fibroblast growth factor 2",1,"GSM5718191",TRUE,"HGNC:FGF2","FGF2","CYTOKINE_IMMPORT",TRUE
"group_L1_5a282a5d","cytokine_stim","STR:ifn_a16",1,"GSM5687443",TRUE,"HGNC:IFNA16","IFNA16","CYTOKINE_IMMPORT",TRUE
"group_L3_2bac9a5f","cytokine_stim","STR:interferon gamma",1,"GSM4546465",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"group_L2_1f4191d7","cytokine_stim","STR:interleukin-4",1,"GSM5417448",TRUE,"HGNC:IL4","IL4","CYTOKINE_IMMPORT",TRUE
"group_L2_52339a64","cytokine_stim","STR:interleukin 12 subunit alpha",1,"GSM3724901",TRUE,"STR:c_cytokines","c(cytokines","STR_FALLBACK",FALSE
"pair_L1_4936f0e9","cytokine_stim","STR:interferon beta-1a",1,"GSM7057272",TRUE,"HGNC:THPO","THPO","CYTOKINE_IMMPORT",TRUE
"group_L1_660f39be","cytokine_stim","STR:transforming growth factor alpha",1,"GSM3004827",TRUE,"HGNC:TGFA","TGFA","CYTOKINE_IMMPORT",TRUE
"group_L3_f3019d96","cytokine_stim","STR:interferon alpha-6",1,"GSM5687436",TRUE,"HGNC:IFNA6","IFNA6","CYTOKINE_IMMPORT",TRUE
"group_L1_f30c6f61","cytokine_stim","STR:hepatocyte growth factor",1,"GSM2949407",TRUE,"HGNC:IL6","IL6","CYTOKINE_IMMPORT",TRUE
"group_L0_96d251f9","cytokine_stim","STR:il_4_gm_csf_5_7_days",1,"GSM5283160",TRUE,"STR:il_4_gm_csf_5_7_days","il-4/gm-csf 5-7 days","STR_FALLBACK",FALSE
"group_L3_3b99e9c4","cytokine_stim","STR:il15_il21",1,"GSM3418207",TRUE,"HGNC:IL15","IL15","CYTOKINE_IMMPORT",TRUE
"group_L1_157fb4dc","cytokine_stim","STR:interferon gamma",1,"GSM4498082",TRUE,,,"NO_RECOVERY",FALSE
"group_L3_33d7620b","cytokine_stim","STR:ifn_a6",1,"GSM5687462",TRUE,"HGNC:IFNA6","IFNA6","CYTOKINE_IMMPORT",TRUE
"pair_L4_e834d5bb","cytokine_stim","UNK",1,"GSM2274925",TRUE,,,"NO_RECOVERY",FALSE
"group_L0_ac8220d0","cytokine_stim","STR:hbegf_tnf",1,"GSM4403318",TRUE,"STR:hbegf_tnf","hbegf-tnf","STR_FALLBACK",FALSE
"pair_L4_8c92dda0","cytokine_stim","STR:ifn_iii",1,"GSM5733671",TRUE,"STR:ifn_iii","ifn-iii","STR_FALLBACK",FALSE
"pair_L3_c896a78e","cytokine_stim","STR:transforming growth factor beta",1,"GSM3357033",TRUE,"STR:tgfhi","tgfhi","STR_FALLBACK",FALSE
"group_L3_2ed95ce9","cytokine_stim","STR:tnf_ifngamma_10min",1,"GSM6572833",TRUE,"HGNC:TNF","TNF","CYTOKINE_IMMPORT",TRUE
"group_L1_e0f959a1","cytokine_stim","STR:interferon lambda",1,"GSM2795895",TRUE,"STR:ifnl","ifnl","STR_FALLBACK",FALSE
"group_L2_46abb46b","cytokine_stim","STR:ifn_a5",1,"GSM5687461",TRUE,"HGNC:IFNA5","IFNA5","CYTOKINE_IMMPORT",TRUE
"pair_L2_806a14c1","cytokine_stim","STR:interfero_gamma_il1b",1,"GSM7030529",TRUE,"HGNC:IL1B","IL1B","CYTOKINE_IMMPORT",TRUE
"group_L3_5e3d304b","cytokine_stim","UNK",1,"GSM4038077",TRUE,,,"NO_RECOVERY",FALSE
"pair_L2_eacfa9d2","cytokine_stim","STR:transforming growth factor beta",1,"GSM8215560",TRUE,"HGNC:CD44","CD44","CYTOKINE_HGNC",TRUE
"group_L3_f26bf5b5","cytokine_stim","STR:stim",1,"GSM4128689",TRUE,"STR:stim","stim","STR_FALLBACK",FALSE
"pair_L3_1e3254ec","cytokine_stim","STR:interleukin-3",1,"GSM2976790",TRUE,"HGNC:IL3","IL3","CYTOKINE_IMMPORT",TRUE
"group_L1_9f840c0a","cytokine_stim","STR:interferon gamma",1,"GSM7518985",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"group_L2_288dce57","cytokine_stim","STR:interferon gamma",1,"GSM4811107",TRUE,"HGNC:IFNA1","IFNA1","CYTOKINE_IMMPORT",TRUE
"group_L1_68da18c4","cytokine_stim","STR:transforming growth factor beta 1",1,"GSM3834170",TRUE,"HGNC:TGFB1","TGFB1","CYTOKINE_IMMPORT",TRUE
"group_L0_97cd0baa","cytokine_stim","STR:interferon gamma",1,"GSM2592815",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"pair_L4_5ff97ad3","cytokine_stim","STR:interferon gamma",1,"GSM5282772",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"group_L0_47118c3d","cytokine_stim","STR:c-x-c motif chemokine ligand 8",1,"GSM8013599",TRUE,"HGNC:CXCL8","CXCL8","CYTOKINE_IMMPORT",TRUE
"group_L3_6e7ea0cb","cytokine_stim","STR:interferon alpha-10",1,"GSM5687441",TRUE,"HGNC:IFNA10","IFNA10","CYTOKINE_IMMPORT",TRUE
"group_L2_622cb728","cytokine_stim","STR:6_hours",1,"GSM3735254",TRUE,"STR:6_hours","6 hours","STR_FALLBACK",FALSE
"group_L0_d79f3aab","cytokine_stim","STR:interferon gamma",1,"GSM4546461",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"group_L2_5b3cdef6","cytokine_stim","STR:interferon gamma",1,"GSM5478719",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"pair_L0_78ca637a","cytokine_stim","STR:tnf_ifngamma_8h",1,"GSM6572865",TRUE,"HGNC:TNF","TNF","CYTOKINE_IMMPORT",TRUE
"group_L1_76881e02","cytokine_stim","STR:interferon lambda-3",1,"GSM4912468",TRUE,"HGNC:IFNL3","IFNL3","CYTOKINE_IMMPORT",TRUE
"pair_L1_b7a84af3","cytokine_stim","STR:interferon lambda",1,"GSM2795889",TRUE,"STR:ifnl","ifnl","STR_FALLBACK",FALSE
"group_L1_29d4c40a","cytokine_stim","STR:il_17a_tnfa",1,"GSM7225673",TRUE,"HGNC:IL17A","IL17A","CYTOKINE_IMMPORT",TRUE
"group_L0_1114688a","cytokine_stim","STR:epidermal growth factor",1,"GSM3094363",TRUE,,,"NO_RECOVERY",FALSE
"pair_L4_b62298c8","cytokine_stim","STR:interferon alpha-6",1,"GSM3559696",TRUE,"HGNC:IFNA6","IFNA6","CYTOKINE_IMMPORT",TRUE
"group_L0_37ec4f5d","cytokine_stim","STR:interferon gamma",1,"GSM5639747",TRUE,"HGNC:IFNG","IFNG","CYTOKINE_IMMPORT",TRUE
"pair_L4_f4ac8af6","cytokine_stim","STR:oncostatin m",1,"GSM4567865",TRUE,"HGNC:THPO","THPO","CYTOKINE_IMMPORT",TRUE
"pair_L2_3d9d9a55","cytokine_stim","STR:cxcl4_orn8l",1,"GSM6078771",TRUE,"HGNC:PF4","PF4","CYTOKINE_IMMPORT",TRUE
"group_L3_467ef5e4","cytokine_stim","STR:interferon lambda-1",1,"GSM7781148",TRUE,"STR:100ng_ml_infl1_3","100ng/ml infl1-3","STR_FALLBACK",FALSE
"group_L4_748ae1ca","cytokine_stim","STR:transforming growth factor beta",1,"GSM2345127",TRUE,"HGNC:TGFB1","TGFB1","CYTOKINE_IMMPORT",TRUE
