"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L3_71ac1603","cytokine_stim","group",2,"MeSH:D053583","Interleukin-1beta",6,6,0,1,1,"STR:il_1b",FALSE
"group_L3_ac289cb1","cytokine_stim","group",2,"UNK",NA,11,11,0,2,2,"STR:fgf2_wnt3a|STR:tnfaltab",TRUE
"group_L4_e2b9db4d","cytokine_stim","group",3,"MeSH:D020381","Interleukin-17",17,17,0,2,2,"STR:il_17a|STR:il_25",TRUE
"group_L3_e66e06b8","cytokine_stim","group",2,"UNK",NA,8,8,0,1,1,"STR:tgf",FALSE
"group_L4_d818deda","cytokine_stim","group",3,"CHEBI:16994","1-(β-<small>D</small>-galactosyl)-2-(2-hydroxyacyl)sphingosine",18,18,0,2,2,"STR:ifn|STR:ifn_gamma",TRUE
"group_L4_8c611372","cytokine_stim","group",6,"STR:interferon gamma","Interferon gamma",13,13,0,4,4,"STR:ifn_gamma|STR:ifng|STR:treated_with_ifng_for_2_5_weeks|STR:treated_with_ifng_for_24_hrs",TRUE
"pair_L4_f18632ad","cytokine_stim","pair",2,"UNK",NA,36,36,0,0,0,"",FALSE
"group_L4_9fbc9ba5","cytokine_stim","group",2,"HGNC:6015","IL4R",5,5,0,0,0,"",FALSE
"group_L3_699f1f13","cytokine_stim","group",5,"CHEBI:17236","2-hydroxy-6-oxohexa-2,4-dienoic acid",12,12,0,6,6,"STR:cxcl4_1_h|STR:cxcl4_3_h|STR:gmcsf_100ng_ml|STR:ifnalpha|STR:m_csf",TRUE
"group_L3_1f0cc1e1","cytokine_stim","group",2,"CHEBI:114785","erlotinib",25,25,0,0,0,"",FALSE
"group_L3_d3edf762","cytokine_stim","group",3,"UNK",NA,27,27,0,2,2,"STR:10_ng_ml_ifn|STR:24_hr_cytokines",TRUE
"group_L4_4ad9ceb9","cytokine_stim","group",2,"CHEBI:16673","protochlorophyllide",5,5,0,1,1,"STR:egf_9h_plus_gski_3h",FALSE
