"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L0_00aebbde","disease_vs_normal","group",2,"UNK",NA,75,75,2,0,2,"STR:gbm_iv|STR:gbm_tumor_tissue",TRUE
"group_L0_00b99ac7","disease_vs_normal","group",2,"UNK",NA,4,4,2,0,2,"MeSH:D010051|STR:ev_skov3",TRUE
"group_L0_0175e27c","disease_vs_normal","group",2,"UNK",NA,16,16,2,0,2,"STR:nontumor|STR:paracancerous_liver",TRUE
"group_L0_01b21b66","small_molecule","group",3,"UNK",NA,6,6,0,1,1,"STR:art_naive",FALSE
"group_L0_01ff7155","disease_vs_normal","group",2,"UNK",NA,11,11,0,0,0,"",FALSE
"group_L0_02b23ff1","small_molecule","group",2,"UNK",NA,13,13,0,1,1,"STR:s217879",FALSE
"group_L0_032f5f53","small_molecule","group",2,"CHEBI:42068","idarubicin",18,18,0,0,0,"",FALSE
"group_L0_034a1ad5","pathogen_or_aggregate_exposure","group",2,"UNK",NA,3,3,0,0,0,"",FALSE
"group_L0_0360c625","small_molecule","group",2,"UNK",NA,10,10,0,1,1,"STR:immunosuppressive_therapy",FALSE
"group_L0_036bccb9","disease_vs_normal","group",4,"UNK",NA,170,170,2,0,2,"MeSH:D003424|STR:chrohn_s_disease",TRUE
"group_L0_03830837","disease_vs_normal","group",2,"UNK",NA,10,10,0,0,0,"",FALSE
"group_L0_03989165","disease_vs_normal","group",2,"UNK",NA,16,16,0,0,0,"",FALSE
"group_L0_03a22c7a","small_molecule","group",2,"CHEBI:45783","imatinib",28,28,0,0,0,"",FALSE
"group_L0_03a4c25d","disease_vs_normal","group",4,"UNK",NA,16,16,4,0,4,"STR:adult_mixed_phenotype_acute_leukemia|STR:aml|STR:aml_m2|STR:cmml",TRUE
"group_L0_041593e6","disease_vs_normal","group",2,"UNK",NA,5,5,0,0,0,"",FALSE
"group_L0_042f26b2","disease_vs_normal","group",2,"UNK",NA,16,16,2,0,2,"STR:crohn_s_disease_cd_or_ulcerative_colitis_uc|STR:ibd",TRUE
"group_L0_044760be","disease_vs_normal","group",2,"UNK",NA,66,66,1,0,1,"STR:endometrioid_endometrial_cancer",FALSE
"group_L0_048bc5b1","small_molecule","group",2,"UNK",NA,3,3,0,1,1,"STR:almonertinib",FALSE
"group_L0_049f6242","disease_vs_normal","group",3,"UNK",NA,76,76,2,0,2,"MeSH:D006519|STR:alcohol_related_cirrhosis",TRUE
"group_L0_04a0706b","small_molecule","group",7,"UNK",NA,10,10,0,2,2,"CHEBI:16480|STR:k7174",TRUE
"group_L0_04ccbc2d","small_molecule","group",2,"CHEBI:50284","lavandulyl diphosphate",2,2,0,0,0,"",FALSE
"group_L0_0504bd0f","disease_vs_normal","group",2,"UNK",NA,17,17,2,0,2,"STR:adenocarcinoma|STR:non_small_cell_lung_cancer_nsclc",TRUE
"group_L0_051eb351","small_molecule","group",3,"CHEBI:85993","palbociclib",6,6,0,2,2,"CHEBI:85993|STR:palbocicilib_indisulam",TRUE
"group_L0_052fa86c","small_molecule","group",2,"UNK",NA,4,4,0,2,2,"STR:phi29_dna_ploymerance_i_extension_enzyme|STR:vpa_aso1",TRUE
"group_L0_05d3ab45","disease_vs_normal","group",2,"UNK",NA,11,11,3,0,3,"STR:cd44high|STR:cd44low|STR:vehicle_dmso",TRUE
"group_L0_05dac795","disease_vs_normal","group",2,"UNK",NA,1,1,1,0,1,"STR:nasopharyngeal_carcinoma_biopsy",FALSE
"group_L0_074fcbae","disease_vs_normal","group",2,"UNK",NA,5,5,2,0,2,"STR:myxofibrosarcoma|STR:patient_with_severe_pre_eclampsia",TRUE
"group_L0_08dc7d81","small_molecule","group",2,"UNK",NA,5,5,0,1,1,"STR:drug_treated",FALSE
"group_L0_09015fc7","disease_vs_normal","group",10,"MeSH:D001943","Breast Neoplasms",19,19,2,0,2,"STR:breast_cancer_cells|STR:human_breast_cancer_cells",TRUE
"group_L0_0a402512","disease_vs_normal","group",2,"UNK",NA,5,5,1,0,1,"STR:breast_cancer_cells",FALSE
"group_L0_0a6aaa81","disease_vs_normal","group",3,"UNK",NA,84,84,1,0,1,"MeSH:D015470",FALSE
