"cluster_id","label_paper","priority","notes"
"group_L4_7b3e137b","Carcinoma_Renal_Cell_kidney_MeSH_D002292",2,"Carcinoma, Renal Cell (MeSH:D002292) in kidney; rem_group nominato. k_eff=6, n_sig_05=7962, n_sig_strong=3562, max_logFC=10.0."
"group_L4_eda28231","Lung_Neoplasms_lung_MeSH_D008175",2,"Lung Neoplasms (MeSH:D008175) in lung; rem_group nominato. k_eff=7, n_sig_05=3444, n_sig_strong=1127, max_logFC=4.6."
"group_L4_c8600f54","gastric_cancer_stomach_MeSH_D013274",2,"gastric cancer (MeSH:D013274) in stomach; rem_group nominato. k_eff=6, n_sig_05=4138, n_sig_strong=983, max_logFC=10.1."
"group_L4_c51b10c1","hepatocellular_carcinoma_liver_MeSH_D006528",1,"hepatocellular carcinoma (MeSH:D006528) in liver; rem_group nominato. k_eff=37, n_sig_05=3576, n_sig_strong=434, max_logFC=5.5. FLAGSHIP (validato opzione C)."
"group_L4_2d512638","colorectal_cancer_colon_MeSH_D015179",1,"colorectal cancer (MeSH:D015179) in colon; rem_group nominato. k_eff=28, n_sig_05=1037, n_sig_strong=308, max_logFC=7.9. FLAGSHIP (validato opzione C)."
"group_L4_02a1fb3f","bleomycin_A2_prostate_CHEBI_3139",2,"bleomycin A<small><sub>2</sub></small> (CHEBI:3139) in prostate; rem_group nominato. k_eff=5, n_sig_05=5483, n_sig_strong=3093, max_logFC=7.5."
"group_L4_f4b9f686","physostigmine_prostate_CHEBI_27953",2,"physostigmine (CHEBI:27953) in prostate; rem_group nominato. k_eff=4, n_sig_05=5141, n_sig_strong=2526, max_logFC=7.5."
"group_L4_7059e6f2","rsv_lung_NCBITaxon_12814",2,"rsv (NCBITaxon:12814) in lung; rem_group nominato. k_eff=4, n_sig_05=2725, n_sig_strong=1117, max_logFC=12.0."
"group_L4_f477e6a4","TGFB1_lung_HGNC_11766",2,"TGFB1 (HGNC:11766) in lung; rem_group nominato. k_eff=5, n_sig_05=2558, n_sig_strong=871, max_logFC=7.4."
"group_L4_1f404c0b","influenza_virus_lung_NCBITaxon_11309",2,"influenza virus (NCBITaxon:11309) in lung; rem_group nominato. k_eff=12, n_sig_05=1253, n_sig_strong=593, max_logFC=9.9."
"group_L4_59db95a9","Lipopolysaccharide_Blood_CHEBI_16412",1,"Lipopolysaccharide (CHEBI:16412) in Blood; rem_group nominato. k_eff=5, n_sig_05=598, n_sig_strong=384, max_logFC=11.2. FLAGSHIP (validato opzione C)."
"group_L4_b6a3eabd","sars_cov_2_lung_NCBITaxon_2697049",1,"sars-cov-2 (NCBITaxon:2697049) in lung; rem_group nominato. k_eff=21, n_sig_05=1646, n_sig_strong=197, max_logFC=7.3. FLAGSHIP (validato opzione C)."
"group_L4_4d2d5aa0","breast_cancer_breast_MeSH_D001943",1,"breast cancer (MeSH:D001943) in breast; rem_group nominato. k_eff=7, n_sig_05=686, n_sig_strong=188, max_logFC=6.7. FLAGSHIP (validato opzione C)."
"group_L4_c2a27b6c","prostate_cancer_prostate_MeSH_D011471",1,"prostate cancer (MeSH:D011471) in prostate; rem_group nominato. k_eff=9, n_sig_05=553, n_sig_strong=148, max_logFC=9.6. FLAGSHIP (validato opzione C)."
"group_L4_274f387d","Mycobacterium_tuberculosis_blood_NCBITaxon_1773",1,"Mycobacterium tuberculosis (NCBITaxon:1773) in blood; rem_group nominato. k_eff=26, n_sig_05=1322, n_sig_strong=133, max_logFC=5.0. FLAGSHIP (validato opzione C)."
"group_L4_3c38c897","tamoxifen_breast_CHEBI_41774",1,"tamoxifen (CHEBI:41774) in breast; rem_group nominato. k_eff=8, n_sig_05=454, n_sig_strong=120, max_logFC=7.9. FLAGSHIP (validato opzione C)."
"group_L4_b128b80d","Enzalutamide_prostate_CHEBI_68534",1,"Enzalutamide (CHEBI:68534) in prostate; rem_group nominato. k_eff=32, n_sig_05=3193, n_sig_strong=112, max_logFC=6.8. FLAGSHIP (validato opzione C)."
"group_L4_b4975123","fulvestrant_breast_CHEBI_31638",1,"fulvestrant (CHEBI:31638) in breast; rem_group nominato. k_eff=8, n_sig_05=419, n_sig_strong=34, max_logFC=3.5. FLAGSHIP (validato opzione C)."
