geo_accession	series_id_raw	series_id_resolved
GSM1846629	GSE71691,GSE71840	GSE71840
GSM1846630	GSE71691,GSE71840	GSE71840
GSM1846631	GSE71691,GSE71840	GSE71840
GSM1846632	GSE71691,GSE71840	GSE71840
GSM1846633	GSE71691,GSE71840	GSE71840
GSM1846634	GSE71691,GSE71840	GSE71840
GSM1846635	GSE71691,GSE71840	GSE71840
GSM1846636	GSE71691,GSE71840	GSE71840
GSM1846637	GSE71691,GSE71840	GSE71840
GSM1931296	GSE74729	GSE74729
GSM1931297	GSE74729	GSE74729
GSM1931298	GSE74729	GSE74729
GSM1931299	GSE74729	GSE74729
GSM1931300	GSE74729	GSE74729
GSM1931301	GSE74729	GSE74729
GSM1931302	GSE74729	GSE74729
GSM1931303	GSE74729	GSE74729
GSM1931304	GSE74729	GSE74729
GSM2436524	GSE92725,GSE92726	GSE92725
GSM2436525	GSE92725,GSE92726	GSE92725
GSM2436526	GSE92725,GSE92726	GSE92725
GSM2436527	GSE92725,GSE92726	GSE92725
GSM2436528	GSE92725,GSE92726	GSE92725
GSM2436529	GSE92725,GSE92726	GSE92725
GSM2436530	GSE92725,GSE92726	GSE92725
GSM2436531	GSE92725,GSE92726	GSE92725
GSM2436532	GSE92725,GSE92726	GSE92725
GSM2436533	GSE92725,GSE92726	GSE92725
GSM2436534	GSE92725,GSE92726	GSE92725
GSM2436535	GSE92725,GSE92726	GSE92725
GSM2436536	GSE92725,GSE92726	GSE92725
GSM2436537	GSE92725,GSE92726	GSE92725
GSM2436538	GSE92725,GSE92726	GSE92725
GSM2436539	GSE92725,GSE92726	GSE92725
GSM2436540	GSE92725,GSE92726	GSE92725
GSM2436541	GSE92725,GSE92726	GSE92725
GSM2522387	GSE95706	GSE95706
GSM2522388	GSE95706	GSE95706
GSM2522389	GSE95706	GSE95706
GSM2522390	GSE95706	GSE95706
GSM2522391	GSE95706	GSE95706
GSM2522392	GSE95706	GSE95706
GSM2589020	GSE98183	GSE98183
GSM2589021	GSE98183	GSE98183
GSM2589022	GSE98183	GSE98183
GSM2589023	GSE98183	GSE98183
GSM2589024	GSE98183	GSE98183
GSM2589025	GSE98183	GSE98183
GSM2589026	GSE98183	GSE98183
GSM2589027	GSE98183	GSE98183
GSM2589028	GSE98183	GSE98183
GSM2589029	GSE98183	GSE98183
GSM2637927	GSE99240	GSE99240
GSM2637928	GSE99240	GSE99240
GSM2637929	GSE99240	GSE99240
GSM2637930	GSE99240	GSE99240
GSM2637931	GSE99240	GSE99240
GSM2637932	GSE99240	GSE99240
GSM2690847	GSE100669	GSE100669
GSM2690848	GSE100669	GSE100669
GSM2690849	GSE100669	GSE100669
GSM2690850	GSE100669	GSE100669
GSM2690851	GSE100669	GSE100669
GSM2690852	GSE100669	GSE100669
GSM2690853	GSE100669	GSE100669
GSM2690854	GSE100669	GSE100669
GSM2690855	GSE100669	GSE100669
GSM2690856	GSE100669	GSE100669
GSM2690857	GSE100669	GSE100669
GSM2714336	GSE101745,GSE111706	GSE101745
GSM2714337	GSE101745,GSE111706	GSE101745
GSM2714338	GSE101745,GSE111706	GSE101745
GSM2714339	GSE101745,GSE111706	GSE101745
GSM2714340	GSE101745,GSE111706	GSE101745
GSM2714341	GSE101745,GSE111706	GSE101745
GSM2714342	GSE101745,GSE111706	GSE101745
GSM2714343	GSE101745,GSE111706	GSE101745
GSM2714344	GSE101745,GSE111706	GSE101745
GSM2714345	GSE101745,GSE111706	GSE101745
GSM2714346	GSE101745,GSE111706	GSE101745
GSM2714347	GSE101745,GSE111706	GSE101745
GSM2714348	GSE101745,GSE111706	GSE101745
GSM2714349	GSE101745,GSE111706	GSE101745
GSM2714350	GSE101745,GSE111706	GSE101745
GSM2714351	GSE101745,GSE111706	GSE101745
GSM2714352	GSE101745,GSE111706	GSE101745
GSM2714353	GSE101745,GSE111706	GSE101745
GSM2714354	GSE101745,GSE111706	GSE101745
GSM2714355	GSE101745,GSE111706	GSE101745
GSM2724425	GSE98183	GSE98183
GSM2724426	GSE98183	GSE98183
GSM2724427	GSE98183	GSE98183
GSM2724428	GSE98183	GSE98183
GSM2724429	GSE98183	GSE98183
GSM2724430	GSE98183	GSE98183
GSM2724431	GSE98183	GSE98183
GSM2724432	GSE98183	GSE98183
GSM2724433	GSE98183	GSE98183
GSM2724434	GSE98183	GSE98183
GSM2724435	GSE98183	GSE98183
GSM2724436	GSE98183	GSE98183
GSM2724437	GSE98183	GSE98183
GSM2724439	GSE98183	GSE98183
GSM2724440	GSE98183	GSE98183
GSM2724441	GSE98183	GSE98183
GSM2724442	GSE98183	GSE98183
GSM2724443	GSE98183	GSE98183
GSM2724444	GSE98183	GSE98183
GSM2724445	GSE98183	GSE98183
GSM2724446	GSE98183	GSE98183
GSM2724447	GSE98183	GSE98183
GSM2724448	GSE98183	GSE98183
GSM2724449	GSE98183	GSE98183
GSM2724450	GSE98183	GSE98183
GSM2724451	GSE98183	GSE98183
GSM2724452	GSE98183	GSE98183
