"record_id","organism","nchar_raw","fail_mode"
"GSM1197622","Homo sapiens",7235,"MODE_B_LEGIT_TRUNC"
"GSM6503076","Homo sapiens",2735,"OTHER_DEGEN"
"GSM5363272","Homo sapiens",2451,"MODE_A_WHITESPACE"
"GSM7100021","Homo sapiens",2684,"OTHER_DEGEN"
"GSM6656026","Homo sapiens",2464,"MODE_A_WHITESPACE"
"GSM4974144","Homo sapiens",2688,"OTHER_DEGEN"
"GSM4981364","Homo sapiens",2461,"MODE_A_WHITESPACE"
"GSM5086654","Homo sapiens",2418,"MODE_A_WHITESPACE"
"GSM6720815","Homo sapiens",2421,"MODE_A_WHITESPACE"
"GSM2784575","Homo sapiens",2410,"MODE_A_WHITESPACE"
"GSM6711825","Homo sapiens",2404,"MODE_A_WHITESPACE"
"GSM1890820","Homo sapiens",6062,"MODE_B_LEGIT_TRUNC"
"GSM1266746","Homo sapiens",2431,"MODE_A_WHITESPACE"
"GSM1726434","Homo sapiens",2400,"MODE_A_WHITESPACE"
"GSM4253995","Homo sapiens",2437,"MODE_A_WHITESPACE"
"GSM5435599","Homo sapiens",2435,"MODE_A_WHITESPACE"
"GSM1959797","Homo sapiens",2785,"OTHER_DEGEN"
"GSM7086139","Homo sapiens",2393,"MODE_A_WHITESPACE"
"GSM4411770","Homo sapiens",2404,"MODE_A_WHITESPACE"
"GSM6813068","Homo sapiens",2792,"OTHER_DEGEN"
"GSM7840877","Homo sapiens",2413,"MODE_A_WHITESPACE"
"GSM3029017","Homo sapiens",2416,"MODE_A_WHITESPACE"
"GSM6910371","Homo sapiens",2446,"MODE_A_WHITESPACE"
"GSM3071541","Homo sapiens",2411,"MODE_A_WHITESPACE"
"GSM3071608","Homo sapiens",2411,"MODE_A_WHITESPACE"
"GSM7988557","Homo sapiens",2463,"MODE_A_WHITESPACE"
"GSM7518532","Homo sapiens",2427,"MODE_A_WHITESPACE"
"GSM5654921","Homo sapiens",2418,"MODE_A_WHITESPACE"
"GSM4385440","Homo sapiens",2689,"OTHER_DEGEN"
"GSM3029022","Homo sapiens",2438,"MODE_A_WHITESPACE"
"GSM3071552","Homo sapiens",2411,"MODE_A_WHITESPACE"
"GSM3071583","Homo sapiens",2411,"MODE_A_WHITESPACE"
"GSM1602263","Homo sapiens",2420,"MODE_A_WHITESPACE"
"GSM6887344","Homo sapiens",2395,"MODE_A_WHITESPACE"
"GSM3029027","Homo sapiens",2423,"MODE_A_WHITESPACE"
"GSM3067333","Homo sapiens",2434,"MODE_A_WHITESPACE"
"GSM2209024","Homo sapiens",2715,"OTHER_DEGEN"
"GSM7988600","Homo sapiens",2446,"MODE_A_WHITESPACE"
"GSM2041846","Homo sapiens",2404,"MODE_A_WHITESPACE"
"GSM1602268","Homo sapiens",2420,"MODE_A_WHITESPACE"
"GSM5585199","Homo sapiens",2420,"MODE_A_WHITESPACE"
"GSM5595391","Homo sapiens",2702,"OTHER_DEGEN"
"GSM4385468","Homo sapiens",2693,"OTHER_DEGEN"
"GSM4411760","Homo sapiens",2404,"MODE_A_WHITESPACE"
"GSM1808258","Homo sapiens",2423,"MODE_A_WHITESPACE"
"GSM1890819","Homo sapiens",5243,"MODE_B_LEGIT_TRUNC"
"GSM8006165","Homo sapiens",2430,"MODE_A_WHITESPACE"
"GSM8084588","Homo sapiens",2401,"MODE_A_WHITESPACE"
"GSM3100309","Homo sapiens",7201,"MODE_B_LEGIT_TRUNC"
"GSM3108136","Homo sapiens",2410,"MODE_A_WHITESPACE"
"GSM2445425","Homo sapiens",5933,"MODE_B_LEGIT_TRUNC"
"GSM6595587","Homo sapiens",2702,"OTHER_DEGEN"
"GSM4681053","Homo sapiens",6934,"MODE_B_LEGIT_TRUNC"
"GSM1602267","Homo sapiens",2420,"MODE_A_WHITESPACE"
"GSM4681219","Homo sapiens",6997,"MODE_B_LEGIT_TRUNC"
"GSM8119638","Homo sapiens",2411,"MODE_A_WHITESPACE"
"GSM3309916","Homo sapiens",2421,"MODE_A_WHITESPACE"
"GSM7034736","Homo sapiens",2701,"OTHER_DEGEN"
"GSM2884362","Homo sapiens",2400,"MODE_A_WHITESPACE"
"GSM8084576","Homo sapiens",2398,"MODE_A_WHITESPACE"
"GSM4680965","Homo sapiens",7074,"MODE_B_LEGIT_TRUNC"
"GSM8128134","Homo sapiens",2453,"MODE_A_WHITESPACE"
"GSM2258213","Homo sapiens",2403,"MODE_A_WHITESPACE"
"GSM8006158","Homo sapiens",2430,"MODE_A_WHITESPACE"
"GSM3124693","Homo sapiens",2394,"MODE_A_WHITESPACE"
"GSM7035974","Homo sapiens",2400,"MODE_A_WHITESPACE"
"GSM7049212","Homo sapiens",2446,"MODE_A_WHITESPACE"
"GSM8148836","Homo sapiens",2397,"MODE_A_WHITESPACE"
"GSM4614971","Homo sapiens",2412,"MODE_A_WHITESPACE"
"GSM4681043","Homo sapiens",6934,"MODE_B_LEGIT_TRUNC"
"GSM7221381","Homo sapiens",2401,"MODE_A_WHITESPACE"
"GSM8188708","Homo sapiens",2406,"MODE_A_WHITESPACE"
"GSM4763045","Homo sapiens",2492,"MODE_A_WHITESPACE"
"GSM7086162","Homo sapiens",2392,"MODE_A_WHITESPACE"
"GSM3262021","Homo sapiens",2416,"MODE_A_WHITESPACE"
"GSM7104962","Homo sapiens",2713,"OTHER_DEGEN"
"GSM7712275","Homo sapiens",2409,"MODE_A_WHITESPACE"
"GSM7123625","Homo sapiens",2395,"MODE_A_WHITESPACE"
"GSM2325752","Homo sapiens",2407,"MODE_A_WHITESPACE"
"GSM3223602","Homo sapiens",2403,"MODE_A_WHITESPACE"
"GSM8188713","Homo sapiens",2402,"MODE_A_WHITESPACE"
"GSM4762638","Homo sapiens",2493,"MODE_A_WHITESPACE"
"GSM7427065","Homo sapiens",2422,"MODE_A_WHITESPACE"
"GSM4826907","Homo sapiens",2422,"MODE_A_WHITESPACE"
"GSM4078125","Homo sapiens",2685,"OTHER_DEGEN"
"GSM4159493","Homo sapiens",2404,"MODE_A_WHITESPACE"
"GSM8119631","Homo sapiens",2402,"MODE_A_WHITESPACE"
"GSM2218792","Homo sapiens",2404,"MODE_A_WHITESPACE"
"GSM2237187","Homo sapiens",2418,"MODE_A_WHITESPACE"
"GSM3300794","Homo sapiens",2406,"MODE_A_WHITESPACE"
"GSM3325844","Homo sapiens",2387,"MODE_A_WHITESPACE"
"GSM2483357","Homo sapiens",6348,"MODE_B_LEGIT_TRUNC"
"GSM2478930","Homo sapiens",2435,"MODE_A_WHITESPACE"
"GSM2483306","Homo sapiens",2422,"MODE_A_WHITESPACE"
"GSM2483341","Homo sapiens",2422,"MODE_A_WHITESPACE"
"GSM3526399","Homo sapiens",2402,"MODE_A_WHITESPACE"
"GSM3396296","Homo sapiens",2394,"MODE_A_WHITESPACE"
"GSM2396981","Homo sapiens",2410,"MODE_A_WHITESPACE"
"GSM4762618","Homo sapiens",2493,"MODE_A_WHITESPACE"
"GSM3525713","Homo sapiens",2393,"MODE_A_WHITESPACE"
"GSM2258212","Homo sapiens",2403,"MODE_A_WHITESPACE"
"GSM3639700","Homo sapiens",2398,"MODE_A_WHITESPACE"
"GSM3724025","Homo sapiens",5925,"MODE_B_LEGIT_TRUNC"
"GSM4873538","Homo sapiens",2420,"MODE_A_WHITESPACE"
"GSM3398392","Homo sapiens",2401,"MODE_A_WHITESPACE"
"GSM3574801","Homo sapiens",6532,"MODE_B_LEGIT_TRUNC"
"GSM3574853","Homo sapiens",6442,"MODE_B_LEGIT_TRUNC"
"GSM4763005","Homo sapiens",2492,"MODE_A_WHITESPACE"
"GSM7123615","Homo sapiens",2394,"MODE_A_WHITESPACE"
"GSM3636485","Homo sapiens",2438,"MODE_A_WHITESPACE"
"GSM3636513","Homo sapiens",2438,"MODE_A_WHITESPACE"
"GSM2712775","Homo sapiens",2706,"OTHER_DEGEN"
"GSM4849134","Homo sapiens",2405,"MODE_A_WHITESPACE"
"GSM2483349","Homo sapiens",6348,"MODE_B_LEGIT_TRUNC"
"GSM3574806","Homo sapiens",6532,"MODE_B_LEGIT_TRUNC"
"GSM5029904","Homo sapiens",2403,"MODE_A_WHITESPACE"
"GSM3476283","Homo sapiens",2396,"MODE_A_WHITESPACE"
"GSM6373973","Homo sapiens",2410,"MODE_A_WHITESPACE"
"GSM3526404","Homo sapiens",2397,"MODE_A_WHITESPACE"
"GSM3636518","Homo sapiens",2438,"MODE_A_WHITESPACE"
"GSM3535862","Homo sapiens",2451,"MODE_A_WHITESPACE"
"GSM2483359","Homo sapiens",6823,"MODE_B_LEGIT_TRUNC"
"GSM5081849","Homo sapiens",2401,"MODE_A_WHITESPACE"
"GSM6421494","Homo sapiens",2429,"MODE_A_WHITESPACE"
"GSM5081853","Homo sapiens",2402,"MODE_A_WHITESPACE"
"GSM2695267","Homo sapiens",3271,"MODE_B_LEGIT_TRUNC"
"GSM2695265","Homo sapiens",3271,"MODE_B_LEGIT_TRUNC"
"GSM3531620","Homo sapiens",2421,"MODE_A_WHITESPACE"
"GSM6434404","Homo sapiens",2402,"MODE_A_WHITESPACE"
"GSM2478934","Homo sapiens",2435,"MODE_A_WHITESPACE"
"GSM3574820","Homo sapiens",6532,"MODE_B_LEGIT_TRUNC"
