"geo_accession","series_id","primary","secondary","primary_type","secondary_type","primary_summary","secondary_summary","primary_n_samples","secondary_n_samples"
"GSM5377493","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5377242","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5376038","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5375959","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5376115","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5378408","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM4912465","GSE161664,GSE161665","GSE161664","GSE161665","NotSuper","NotSuper","SARS-CoV-2 infection of human airway epithelium activates genetic programs leading to progressive hy","SARS-CoV-2 infection of human airway epithelium activates genetic programs leading to progressive hy",37,53
"GSM5376964","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5376013","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5376190","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5376939","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM4543214","GSE150198,GSE150199","GSE150198","GSE150199","NotSuper","NotSuper","Cytokine activation of cells induces gene networks involved in inflammation and immunity. Transient ","Cytokine activation of cells induces gene networks involved in inflammation and immunity. Transient ",270,364
"GSM5376490","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM4542975","GSE150196,GSE150199","GSE150196","GSE150199","NotSuper","NotSuper","Cytokine activation of cells induces gene networks involved in inflammation and immunity. Transient ","Cytokine activation of cells induces gene networks involved in inflammation and immunity. Transient ",12,364
"GSM5377555","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5377332","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5376769","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5375756","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM4677423","GSE154688,GSE154691","GSE154688","GSE154691","NotSuper","NotSuper","The in vitro reconstitution of human germ-cell development provides a robust framework for clarifyin","The in vitro reconstitution of human germ-cell development provides a robust framework for clarifyin",183,184
"GSM5376170","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5375789","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5375854","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5376882","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM4912452","GSE161664,GSE161665","GSE161664","GSE161665","NotSuper","NotSuper","SARS-CoV-2 infection of human airway epithelium activates genetic programs leading to progressive hy","SARS-CoV-2 infection of human airway epithelium activates genetic programs leading to progressive hy",37,53
"GSM5376406","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5378476","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM5375716","GSE177616,GSE177689","GSE177616","GSE177689","NotSuper","NotSuper","Shortly after fertilization, human embryos implant into the uterus. This requires the formation of a","About one week after fertilization, human embryos implant into the uterus. This necessitates the for",2715,2776
"GSM4543117","GSE150198,GSE150199","GSE150198","GSE150199","NotSuper","NotSuper","Cytokine activation of cells induces gene networks involved in inflammation and immunity. Transient ","Cytokine activation of cells induces gene networks involved in inflammation and immunity. Transient ",270,364
