contrast_entity,label,nota
NCBITaxon:2697049,SARS-CoV-2,dizionario: nome scientifico normalizzato senza spazi
NCBITaxon:10359,HCMV (human cytomegalovirus),dizionario: humanbetaherpesvirus5
NCBITaxon:11320,Influenza A virus,dizionario: influenzaavirus
NCBITaxon:11676,HIV-1,dizionario: humanimmunodeficiencyvirus1
NCBITaxon:10298,HSV-1,dizionario: humanalphaherpesvirus1
NCBITaxon:10407,hepatitis B virus,dizionario: hepatitisbvirus
NCBITaxon:64320,Zika virus,dizionario: zikavirus
NCBITaxon:1280,Staphylococcus aureus,dizionario: senza spazi
NCBITaxon:1282,Staphylococcus epidermidis,dizionario: senza spazi
NCBITaxon:562,Escherichia coli,dizionario: senza spazi
NCBITaxon:851,Fusobacterium nucleatum,dizionario: senza spazi
CHEBI:16330,DHT (5alpha-dihydrotestosterone),nome sistematico ChEBI: 17beta-hydroxy-5alpha-androstan-3-one
CHEBI:379896,R1881 (metribolone),nome sistematico ChEBI: 17beta-hydroxy-17-methylestra-4;9;11-trien-3-one
CHEBI:37537,PMA (phorbol 12-myristate 13-acetate),nome ChEBI con i sostituenti invertiti
CHEBI:28119,TCDD,nome sistematico ChEBI: 2;3;7;8-tetrachlorodibenzodioxine
CHEBI:39421,PFOS,nome sistematico ChEBI: perfluorooctane-1-sulfonic acid
CHEBI:49852,DRB,nome sistematico ChEBI: 5;6-dichloro-1-beta-D-ribofuranosyl-1H-benzimidazole
CHEBI:138438,SAG (Smoothened agonist),nome sistematico ChEBI lungo 104 caratteri
CHEBI:71019,omacetaxine,nome ChEBI: omacetaxine mepesuccinate
CHEBI:4672,docetaxel,nome ChEBI: docetaxel anhydrous
CHEBI:49375,dasatinib,nome ChEBI: dasatinib (anhydrous)
CHEBI:73572,lipoteichoic acid (LTA) -- ID ERRATO,ID SBAGLIATO: CHEBI:73572 e' il tripeptide Leu-Thr-Ala; i 3 studi trattano con acido lipoteicoico (finding 2026-07-29)
HGNC:1653,anti-CD3/CD28 stimulation,ID PARZIALE: i membri sono stimolazioni con anticorpi anti-CD3 e anti-CD28
HGNC:11927,TWEAK (TNFSF12),simbolo del gene poco riconoscibile: negli studi si chiama TWEAK
CHEBI:59132,antigen (classe-ombrello),entita' generica: il gruppo e' dichiarato incoerente
