hgnc_id	symbol	name	alias_symbol	prev_symbol	status
HGNC:12680	VEGFA	vascular endothelial growth factor A	VEGF|VPF	VEGF	Approved
HGNC:1100	BRCA1	BRCA1 DNA repair associated		BRCC1|RNF53|PPP1R53	Approved
HGNC:1101	BRCA2	BRCA2 DNA repair associated	FACD|FAD|FAD1		Approved
HGNC:7794	MYC	MYC proto-oncogene, bHLH transcription factor	bHLHe39|MRTL	c-Myc	Approved
HGNC:11998	TP53	tumor protein p53	BCC7|LFS1|p53		Approved
HGNC:6407	KRAS	KRAS proto-oncogene, GTPase	C-K-RAS|K-RAS2A		Approved
HGNC:11138	SNCA	synuclein alpha	NACP|PARK1|PD1		Approved
HGNC:1001	BCL6	BCL6 transcription repressor	LAZ3|ZBTB27		Approved
HGNC:11892	TNF	tumor necrosis factor	DIF|TNF-alpha|TNFA|TNFSF2		Approved
HGNC:6018	IL6	interleukin 6	BSF2|HGF|HSF|IFNB2		Approved
