"stratum","pair_cluster_id","pair_level","pair_anchor_key","pair_treated_anchor","pair_control_anchor","pair_comparison_type","baseline_cluster_id","baseline_anchor_key","baseline_n_total","baseline_n_studies","baseline_studies","strict_match","relaxed_match","human_label","human_note"
"strict_ok","pair_L3_04c50c73",3,"small_molecule|CHEBI:16515|wt|exposure|primary_culture|whole_cell|blood|none__VS__vehicle_only|CHEBI:16236|wt|exposure|primary_culture|whole_cell|blood|none","small_molecule|CHEBI:16515|wt|exposure|primary_culture|whole_cell|blood|none","vehicle_only|CHEBI:16236|wt|exposure|primary_culture|whole_cell|blood|none",NA,"group_L3_5ed5a76c","vehicle_only|CHEBI:16236|wt|exposure|primary_culture|whole_cell|blood|none",37,3,"GSE156124,GSE261699,GSE179621",TRUE,TRUE,"TBD",""
"strict_ok","pair_L4_f183fcc2",4,"small_molecule|CHEBI:3343|blood__VS__vehicle_only|CHEBI:36941|blood","small_molecule|CHEBI:3343|blood","vehicle_only|CHEBI:36941|blood",NA,"group_L4_fede0a66","vehicle_only|CHEBI:36941|blood",213,37,"GSE221880,GSE107222,GSE174695,GSE180133,GSE159620,GSE164437,GSE227269,GSE243654,GSE205605,GSE213052,GSE229308,GSE140936,GSE144821,GSE174693,GSE108763,GSE181519,GSE236958,GSE114492,GSE138209,GSE140937,GSE101480,GSE116770,GSE97435,GSE216753,GSE155337,GSE160277,GSE173995,GSE271106,GSE214990,GSE131415,GSE129522,GSE218175,GSE167825,GSE185872,GSE95297,GSE87055,GSE126091",TRUE,TRUE,"TBD",""
"strict_ok","pair_L2_27cf95e7",2,"pathogen_or_aggregate_exposure|Listeria monocytogenes|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none__VS__none|unknown|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none","pathogen_or_aggregate_exposure|Listeria monocytogenes|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none","none|unknown|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none",NA,"group_L2_18920224","none|unknown|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none",104,3,"GSE73502,GSE81046,GSE135223",TRUE,TRUE,"TBD",""
"strict_ok","pair_L0_e45151a4",0,"none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none|false__VS__none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none|false__CT_disease_normal","none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none|false","none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none|false","disease_normal","group_L0_10412ca8","none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none|false",954,7,"GSE68086,GSE229083,GSE207586,GSE89843,GSE156902,GSE183635,GSE58450",TRUE,TRUE,"TBD",""
"strict_ok","pair_L2_79b33a16",2,"small_molecule|White Bean 7S globulin|wt|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__VS__vehicle_only|unknown|wt|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","small_molecule|White Bean 7S globulin|wt|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle_only|unknown|wt|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none",NA,"group_L2_73e887d0","vehicle_only|unknown|wt|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none",156,12,"GSE214625,GSE122058,GSE140702,GSE125817,GSE169030,GSE122083,GSE196735,GSE168698,GSE235941,GSE188620,GSE193708,GSE210043",TRUE,TRUE,"TBD",""
"strict_ok","pair_L1_e3121ea2",1,"small_molecule|CHEBI:17235|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none__VS__vehicle_only|unknown|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none__CT_vehicle","small_molecule|CHEBI:17235|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none","vehicle_only|unknown|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none","vehicle","group_L1_5d64be6d","vehicle_only|unknown|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none",187,60,"GSE52385,GSE63189,GSE221280,GSE74383,GSE120957,GSE77261,GSE123604,GSE124658,GSE107590,GSE134938,GSE93505,GSE149768,GSE152102,GSE161480,GSE165891,GSE168706,GSE226836,GSE56066,GSE62613,GSE68815,GSE66158,GSE66744,GSE84986,GSE132447,GSE37918,GSE87225,GSE145536,GSE95302,GSE104604,GSE153557,GSE182288,GSE115737,GSE178905,GSE52036,GSE226339,GSE64590,GSE231480,GSE100292,GSE216988,GSE218819,GSE109537,GSE141987,GSE130067,GSE156454,GSE100451,GSE104675,GSE219134,GSE188914,GSE241600,GSE71012,GSE76453,GSE210411,GSE134888,GSE141711,GSE223718,GSE157343,GSE159263,GSE197078,GSE112898,GSE43726",TRUE,TRUE,"TBD",""
"strict_ok","pair_L3_ba8d3279",3,"small_molecule|CHEBI:27953|wt|exposure|primary_culture|whole_cell|prostate|none__VS__vehicle_only|unknown|wt|exposure|primary_culture|whole_cell|prostate|none","small_molecule|CHEBI:27953|wt|exposure|primary_culture|whole_cell|prostate|none","vehicle_only|unknown|wt|exposure|primary_culture|whole_cell|prostate|none",NA,"group_L3_1cffef8e","vehicle_only|unknown|wt|exposure|primary_culture|whole_cell|prostate|none",33,12,"GSE87563,GSE156301,GSE128420,GSE178376,GSE80979,GSE156038,GSE156184,GSE186947,GSE222279,GSE156472,GSE160091,GSE164012",TRUE,TRUE,"TBD",""
"strict_ok","pair_L4_fd802b79",4,"small_molecule|CHEBI:16515|blood__VS__vehicle_only|CHEBI:16236|blood","small_molecule|CHEBI:16515|blood","vehicle_only|CHEBI:16236|blood",NA,"group_L4_7d24ebd7","vehicle_only|CHEBI:16236|blood",46,4,"GSE156124,GSE261699,GSE179621,GSE179225",TRUE,TRUE,"TBD",""
"strict_ok","pair_L2_de50bf31",2,"cytokine_stim|CHEBI:17236|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none__VS__vehicle_only|unknown|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none","cytokine_stim|CHEBI:17236|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none","vehicle_only|unknown|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none",NA,"group_L2_c0762616","vehicle_only|unknown|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none",336,97,"GSE103604,GSE192656,GSE228143,GSE234201,GSE206784,GSE252181,GSE211425,GSE248686,GSE133959,GSE242951,GSE212775,GSE125369,GSE141886,GSE143638,GSE146403,GSE147507,GSE180941,GSE181827,GSE161800,GSE111051,GSE114636,GSE147487,GSE270575,GSE185865,GSE234858,GSE186169,GSE226982,GSE227592,GSE186370,GSE228624,GSE76151,GSE120269,GSE246690,GSE261920,GSE210093,GSE212057,GSE215771,GSE84285,GSE207471,GSE132776,GSE136864,GSE116192,GSE147832,GSE145371,GSE226491,GSE163392,GSE165307,GSE173953,GSE234537,GSE235316,GSE197132,GSE156295,GSE156833,GSE35774,GSE185216,GSE224740,GSE194382,GSE200370,GSE198398,GSE201270,GSE118773,GSE263726,GSE206717,GSE92250,GSE241490,GSE104168,GSE137940,GSE125907,GSE217068,GSE142620,GSE222640,GSE148684,GSE182461,GSE185829,GSE108906,GSE186187,GSE68873,GSE229084,GSE77219,GSE213013,GSE225905,GSE124396,GSE94588,GSE129654,GSE162316,GSE162295,GSE146423,GSE241595,GSE162384,GSE171750,GSE172315,GSE107676,GSE131016,GSE185306,GSE189804,GSE191255,GSE171296",TRUE,TRUE,"TBD",""
"strict_ok","pair_L2_1b897350",2,"genetic_overexpression|3236|wt|exposure|human embryonic stem cells|iPSC_derived|proliferating|whole_cell|cerebral organoids|disease_model__VS__vehicle_only|unknown|wt|exposure|human embryonic stem cells|organoid|proliferating|whole_cell|cerebral organoids|none","genetic_overexpression|3236|wt|exposure|human embryonic stem cells|iPSC_derived|proliferating|whole_cell|cerebral organoids|disease_model","vehicle_only|unknown|wt|exposure|human embryonic stem cells|organoid|proliferating|whole_cell|cerebral organoids|none",NA,"group_L2_7677bdbd","vehicle_only|unknown|wt|exposure|human embryonic stem cells|organoid|proliferating|whole_cell|cerebral organoids|none",12,2,"GSE101577,GSE110610",TRUE,TRUE,"TBD",""
